Company Name,CIK,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,10-K,2018-08-24,edgar/data/1001250/0001104659-18-053494.txt
ASTROTECH Corp,0001001907,10-K,2018-09-25,edgar/data/1001907/0001564590-18-023552.txt
OPEN TEXT CORP,0001002638,10-K,2018-08-02,edgar/data/1002638/0001002638-18-000022.txt
TWIN DISC INC,0000100378,10-K,2018-08-27,edgar/data/100378/0001437749-18-016163.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2018-09-28,edgar/data/1005101/0001437749-18-017579.txt
LANDEC CORP \CA\,0001005286,10-K,2018-08-09,edgar/data/1005286/0001437749-18-015135.txt
EVOLUTION PETROLEUM CORP,0001006655,10-K,2018-09-10,edgar/data/1006655/0001006655-18-000045.txt
CONSUMERS BANCORP INC /OH/,0001006830,10-K,2018-09-12,edgar/data/1006830/0001437749-18-016919.txt
UNIFI INC,0000100726,10-K,2018-08-22,edgar/data/100726/0001564590-18-022208.txt
ECOMAT INC,0001008653,10-K,2018-09-26,edgar/data/1008653/0001295345-18-000039.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,10-K,2018-08-31,edgar/data/1010470/0000939057-18-000449.txt
AdvanSource Biomaterials Corp,0001011060,10-K,2018-07-16,edgar/data/1011060/0001556244-18-000089.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,10-K,2018-09-27,edgar/data/1012493/0000922358-18-000010.txt
INTEGRATED BIOPHARMA INC,0001016504,10-K,2018-09-12,edgar/data/1016504/0001437749-18-016922.txt
GENETHERA INC,0001017110,10-K,2018-09-12,edgar/data/1017110/0001017110-18-000015.txt
INTEGRAL TECHNOLOGIES INC,0001018281,10-K,2018-09-19,edgar/data/1018281/0001437749-18-017215.txt
UNITED NATURAL FOODS INC,0001020859,10-K,2018-09-24,edgar/data/1020859/0001020859-18-000095.txt
UNIVERSAL SECURITY INSTRUMENTS INC,0000102109,10-K,2018-07-16,edgar/data/102109/0001144204-18-038512.txt
COTY INC.,0001024305,10-K,2018-08-21,edgar/data/1024305/0001024305-18-000026.txt
"Axion Power International, Inc.",0001028153,10-K,2018-07-13,edgar/data/1028153/0001615774-18-006446.txt
OSI SYSTEMS INC,0001039065,10-K,2018-08-28,edgar/data/1039065/0001047469-18-005819.txt
NETSOL TECHNOLOGIES INC,0001039280,10-K,2018-09-26,edgar/data/1039280/0001493152-18-013757.txt
AEHR TEST SYSTEMS,0001040470,10-K,2018-08-28,edgar/data/1040470/0001654954-18-009628.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,10-K,2018-09-12,edgar/data/1041514/0001062993-18-003721.txt
FEDEX CORP,0001048911,10-K,2018-07-16,edgar/data/1048911/0001564590-18-016877.txt
MERCURY SYSTEMS INC,0001049521,10-K,2018-08-16,edgar/data/1049521/0001049521-18-000030.txt
WESTERN DIGITAL CORP,0000106040,10-K,2018-08-24,edgar/data/106040/0000106040-18-000029.txt
"Enviro-serve, Inc.",0001062720,10-K,2018-09-25,edgar/data/1062720/0001548233-18-000005.txt
EGAIN Corp,0001066194,10-K,2018-09-13,edgar/data/1066194/0001558370-18-007466.txt
"CRACKER BARREL OLD COUNTRY STORE, INC",0001067294,10-K,2018-09-28,edgar/data/1067294/0001140361-18-039529.txt
PHIBRO ANIMAL HEALTH CORP,0001069899,10-K,2018-08-27,edgar/data/1069899/0001144204-18-046489.txt
GREENE COUNTY BANCORP INC,0001070524,10-K,2018-09-12,edgar/data/1070524/0001140361-18-038309.txt
BOTTOMLINE TECHNOLOGIES INC /DE/,0001073349,10-K,2018-08-29,edgar/data/1073349/0001193125-18-261251.txt
"REMEDENT, INC.",0001078037,10-K,2018-07-13,edgar/data/1078037/0001144204-18-038347.txt
EXTREME NETWORKS INC,0001078271,10-K,2018-08-29,edgar/data/1078271/0001564590-18-022453.txt
"Progreen US, Inc.",0001079297,10-K,2018-08-14,edgar/data/1079297/0001493152-18-011813.txt
PATRIOT GOLD CORP,0001080448,10-K,2018-08-29,edgar/data/1080448/0001683168-18-002554.txt
"CANNAPHARMARX, INC.",0001081938,10-K,2018-09-11,edgar/data/1081938/0001683168-18-002697.txt
"CANNAPHARMARX, INC.",0001081938,10-K,2018-09-14,edgar/data/1081938/0001683168-18-002736.txt
"CANNAPHARMARX, INC.",0001081938,10-K,2018-09-14,edgar/data/1081938/0001683168-18-002744.txt
"Great Elm Capital Group, Inc.",0001082506,10-K,2018-09-13,edgar/data/1082506/0001564590-18-023113.txt
"VISIUM TECHNOLOGIES, INC.",0001082733,10-K,2018-08-20,edgar/data/1082733/0001493152-18-012383.txt
"Flux Power Holdings, Inc.",0001083743,10-K,2018-09-27,edgar/data/1083743/0001654954-18-010522.txt
"AuraSource, Inc.",0001083922,10-K,2018-07-03,edgar/data/1083922/0001308411-18-000032.txt
RESOURCES CONNECTION INC,0001084765,10-K,2018-07-23,edgar/data/1084765/0001193125-18-223809.txt
1 800 FLOWERS COM INC,0001084869,10-K,2018-09-14,edgar/data/1084869/0001437749-18-017027.txt
WORTHINGTON INDUSTRIES INC,0000108516,10-K,2018-07-30,edgar/data/108516/0001564590-18-017896.txt
"GREYSTONE LOGISTICS, INC.",0001088413,10-K,2018-08-29,edgar/data/1088413/0001493152-18-012700.txt
COLLECTORS UNIVERSE INC,0001089143,10-K,2018-08-30,edgar/data/1089143/0001437749-18-016394.txt
"Solbright Group, Inc.",0001095130,10-K,2018-09-18,edgar/data/1095130/0001437749-18-017159.txt
APPLIED INDUSTRIAL TECHNOLOGIES INC,0000109563,10-K,2018-08-17,edgar/data/109563/0000109563-18-000111.txt
ORANCO INC,0001098996,10-K,2018-09-28,edgar/data/1098996/0001213900-18-013211.txt
PROTALEX INC,0001099215,10-K,2018-09-11,edgar/data/1099215/0001144204-18-049024.txt
ARRAY BIOPHARMA INC,0001100412,10-K,2018-08-14,edgar/data/1100412/0001100412-18-000026.txt
"Crown Equity Holdings, Inc.",0001103833,10-K,2018-08-07,edgar/data/1103833/0001477932-18-003846.txt
SANGUI BIOTECH INTERNATIONAL INC,0001104280,10-K,2018-09-28,edgar/data/1104280/0001551163-18-000148.txt
RPM INTERNATIONAL INC/DE/,0000110621,10-K,2018-07-23,edgar/data/110621/0001564590-18-017180.txt
"OCLARO, INC.",0001110647,10-K,2018-08-23,edgar/data/1110647/0001628280-18-011325.txt
LANTRONIX INC,0001114925,10-K,2018-08-23,edgar/data/1114925/0001683168-18-002477.txt
"TAPESTRY, INC.",0001116132,10-K,2018-08-16,edgar/data/1116132/0001116132-18-000021.txt
"QUINSTREET, INC",0001117297,10-K,2018-09-12,edgar/data/1117297/0001564590-18-022989.txt
SYNCHRONOSS TECHNOLOGIES INC,0001131554,10-K,2018-07-02,edgar/data/1131554/0001131554-18-000025.txt
PREVENTION INSURANCE COM INC,0001134982,10-K,2018-07-30,edgar/data/1134982/0001213900-18-009841.txt
Seagate Technology plc,0001137789,10-K,2018-08-03,edgar/data/1137789/0001193125-18-238271.txt
Pacific Gold & Royalty Corp.,0001137855,10-K,2018-07-20,edgar/data/1137855/0001515971-18-000097.txt
ACCURAY INC,0001138723,10-K,2018-08-24,edgar/data/1138723/0001564590-18-022303.txt
"EnSync, Inc.",0001140310,10-K,2018-09-25,edgar/data/1140310/0001144204-18-050724.txt
"PharmaCyte Biotech, Inc.",0001157075,10-K,2018-07-20,edgar/data/1157075/0001683168-18-001994.txt
K12 INC,0001157408,10-K,2018-08-08,edgar/data/1157408/0001558370-18-006642.txt
PLURISTEM THERAPEUTICS INC,0001158780,10-K,2018-09-12,edgar/data/1158780/0001178913-18-002512.txt
"NEAH POWER SYSTEMS, INC.",0001162816,10-K,2018-08-09,edgar/data/1162816/0001513162-18-000188.txt
"RADIANT LOGISTICS, INC",0001171155,10-K,2018-09-13,edgar/data/1171155/0001564590-18-023101.txt
Petro River Oil Corp.,0001172298,10-K,2018-07-30,edgar/data/1172298/0001654954-18-008175.txt
CytoDyn Inc.,0001175680,10-K,2018-07-27,edgar/data/1175680/0001193125-18-229738.txt
XPLORE TECHNOLOGIES CORP,0001177845,10-K,2018-07-16,edgar/data/1177845/0001185185-18-001256.txt
Cardiovascular Systems Inc,0001180145,10-K,2018-08-23,edgar/data/1180145/0001180145-18-000044.txt
COUNTERPATH CORP,0001236997,10-K,2018-07-25,edgar/data/1236997/0001062993-18-003013.txt
"MEI Pharma, Inc.",0001262104,10-K,2018-08-30,edgar/data/1262104/0001193125-18-263586.txt
CIMPRESS N.V.,0001262976,10-K,2018-08-10,edgar/data/1262976/0001262976-18-000052.txt
APPLIED GENETIC TECHNOLOGIES CORP,0001273636,10-K,2018-09-11,edgar/data/1273636/0001564590-18-022913.txt
ANGIODYNAMICS INC,0001275187,10-K,2018-07-23,edgar/data/1275187/0001275187-18-000011.txt
STONEMOR PARTNERS LP,0001286131,10-K,2018-07-17,edgar/data/1286131/0001286131-18-000080.txt
PROSPECT CAPITAL CORP,0001287032,10-K,2018-08-28,edgar/data/1287032/0001287032-18-000316.txt
"Hill International, Inc.",0001287808,10-K,2018-08-31,edgar/data/1287808/0001287808-18-000020.txt
INTREorg SYSTEMS INC.,0001295560,10-K,2018-09-20,edgar/data/1295560/0001078782-18-001016.txt
INTREorg SYSTEMS INC.,0001295560,10-K,2018-09-25,edgar/data/1295560/0001078782-18-001052.txt
INTREorg SYSTEMS INC.,0001295560,10-K,2018-09-28,edgar/data/1295560/0001078782-18-001100.txt
Kentucky First Federal Bancorp,0001297341,10-K,2018-09-28,edgar/data/1297341/0001213900-18-013157.txt
"BofI Holding, Inc.",0001299709,10-K,2018-08-23,edgar/data/1299709/0001299709-18-000085.txt
"TWENTY-FIRST CENTURY FOX, INC.",0001308161,10-K,2018-08-13,edgar/data/1308161/0001564590-18-021493.txt
"China Health Industries Holdings, Inc.",0001309057,10-K,2018-09-28,edgar/data/1309057/0001213900-18-013171.txt
"CAMBER ENERGY, INC.",0001309082,10-K,2018-07-02,edgar/data/1309082/0001580695-18-000342.txt
"EyePoint Pharmaceuticals, Inc.",0001314102,10-K,2018-09-18,edgar/data/1314102/0001193125-18-276414.txt
Palo Alto Networks Inc,0001327567,10-K,2018-09-13,edgar/data/1327567/0001327567-18-000024.txt
Baying Ecological Holding Group Inc.,0001333519,10-K,2018-09-28,edgar/data/1333519/0001477932-18-004678.txt
Plyzer Technologies Inc.,0001334589,10-K,2018-07-12,edgar/data/1334589/0001393905-18-000218.txt
General Finance CORP,0001342287,10-K,2018-09-07,edgar/data/1342287/0001193125-18-269248.txt
DIAMOND CARTEL INC,0001347491,10-K,2018-08-13,edgar/data/1347491/0001437749-18-015308.txt
"KalVista Pharmaceuticals, Inc.",0001348911,10-K,2018-07-30,edgar/data/1348911/0001564590-18-017915.txt
PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,0001350156,10-K,2018-09-13,edgar/data/1350156/0001262463-18-000283.txt
HK EBUS Corp,0001350421,10-K,2018-09-14,edgar/data/1350421/0001078782-18-000985.txt
Innovation Pharmaceuticals Inc.,0001355250,10-K,2018-09-11,edgar/data/1355250/0001477932-18-004457.txt
Mexus Gold US,0001355677,10-K,2018-07-16,edgar/data/1355677/0001078782-18-000696.txt
