Company Name,CIK,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,10-K,2021-06-22,edgar/data/1000045/0001564590-21-033737.txt
"MGT CAPITAL INVESTMENTS, INC.",0001001601,10-K,2021-04-15,edgar/data/1001601/0001493152-21-008913.txt
"NetApp, Inc.",0001002047,10-K,2021-06-21,edgar/data/1002047/0001564590-21-033645.txt
WESTELL TECHNOLOGIES INC,0001002135,10-K,2021-05-21,edgar/data/1002135/0001002135-21-000011.txt
COLUMBUS MCKINNON CORP,0001005229,10-K,2021-05-26,edgar/data/1005229/0001005229-21-000155.txt
ARGAN INC,0000100591,10-K,2021-04-14,edgar/data/100591/0001558370-21-004282.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,10-K,2021-04-22,edgar/data/1008586/0001493152-21-009467.txt
Capstone Green Energy Corp,0001009759,10-K,2021-06-14,edgar/data/1009759/0001558370-21-008246.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,10-K,2021-04-19,edgar/data/1011662/0001520138-21-000206.txt
"AMMO, INC.",0001015383,10-K,2021-06-29,edgar/data/1015383/0001493152-21-015547.txt
CARVER BANCORP INC,0001016178,10-K,2021-06-29,edgar/data/1016178/0001016178-21-000011.txt
GENETHERA INC,0001017110,10-K,2021-04-14,edgar/data/1017110/0001199835-21-000184.txt
HIBBETT SPORTS INC,0001017480,10-K,2021-04-07,edgar/data/1017480/0001017480-21-000077.txt
SEACHANGE INTERNATIONAL INC,0001019671,10-K,2021-04-15,edgar/data/1019671/0001564590-21-018886.txt
UNIVERSAL CORP /VA/,0000102037,10-K,2021-05-28,edgar/data/102037/0000102037-21-000012.txt
TRIUMPH GROUP INC,0001021162,10-K,2021-05-20,edgar/data/1021162/0001564590-21-029065.txt
"BBQ HOLDINGS, INC.",0001021270,10-K,2021-04-02,edgar/data/1021270/0001558370-21-003944.txt
EPLUS INC,0001022408,10-K,2021-05-21,edgar/data/1022408/0001022408-21-000014.txt
8X8 INC /DE/,0001023731,10-K,2021-05-17,edgar/data/1023731/0001023731-21-000091.txt
"SG BLOCKS, INC.",0001023994,10-K,2021-04-15,edgar/data/1023994/0001213900-21-021736.txt
"Carnegie Development, Inc",0001024095,10-K,2021-04-06,edgar/data/1024095/0001477932-21-002046.txt
LOGITECH INTERNATIONAL S.A.,0001032975,10-K,2021-05-12,edgar/data/1032975/0001032975-21-000017.txt
V F CORP,0000103379,10-K,2021-05-27,edgar/data/103379/0000103379-21-000006.txt
QAD INC,0001036188,10-K,2021-04-13,edgar/data/1036188/0001437749-21-008761.txt
AEROCENTURY CORP,0001036848,10-K,2021-04-15,edgar/data/1036848/0001654954-21-004244.txt
RALPH LAUREN CORP,0001037038,10-K,2021-05-20,edgar/data/1037038/0001037038-21-000022.txt
PETMED EXPRESS INC,0001040130,10-K,2021-05-25,edgar/data/1040130/0001437749-21-013213.txt
RIVERVIEW BANCORP INC,0001041368,10-K,2021-06-21,edgar/data/1041368/0000939057-21-000189.txt
Yunhong CTI Ltd.,0001042187,10-K,2021-04-16,edgar/data/1042187/0001437749-21-009071.txt
KID CASTLE EDUCATIONAL CORP,0001049011,10-K,2021-04-15,edgar/data/1049011/0001760319-21-000042.txt
STEELCASE INC,0001050825,10-K,2021-04-20,edgar/data/1050825/0001050825-21-000131.txt
ELITE PHARMACEUTICALS INC /NV/,0001053369,10-K,2021-06-14,edgar/data/1053369/0001213900-21-032329.txt
"INTERPACE BIOSCIENCES, INC.",0001054102,10-K,2021-04-01,edgar/data/1054102/0001493152-21-007629.txt
"Rogue One, Inc.",0001058330,10-K,2021-04-21,edgar/data/1058330/0001721868-21-000244.txt
GIVEMEPOWER CORP,0001064722,10-K,2021-04-14,edgar/data/1064722/0001760319-21-000039.txt
Future FinTech Group Inc.,0001066923,10-K,2021-04-15,edgar/data/1066923/0001213900-21-021762.txt
AS-IP TECH INC,0001067873,10-K,2021-05-06,edgar/data/1067873/0001393905-21-000232.txt
"Modular Medical, Inc.",0001074871,10-K,2021-06-29,edgar/data/1074871/0001019056-21-000387.txt
HOOKER FURNITURE CORP,0001077688,10-K,2021-04-16,edgar/data/1077688/0001185185-21-000547.txt
NETSCOUT SYSTEMS INC,0001078075,10-K,2021-05-20,edgar/data/1078075/0001628280-21-010740.txt
"Marijuana Co of America, Inc.",0001078799,10-K,2021-04-14,edgar/data/1078799/0001079973-21-000276.txt
"Elys Game Technology, Corp.",0001080319,10-K,2021-04-12,edgar/data/1080319/0001017386-21-000091.txt
PATRIOT GOLD CORP,0001080448,10-K,2021-04-14,edgar/data/1080448/0001683168-21-001392.txt
GOLD ENTERTAINMENT GROUP INC,0001081188,10-K,2021-05-25,edgar/data/1081188/0001081188-21-000002.txt
"CANNAPHARMARX, INC.",0001081938,10-K,2021-04-14,edgar/data/1081938/0001683168-21-001389.txt
"XCel Brands, Inc.",0001083220,10-K,2021-04-23,edgar/data/1083220/0001558370-21-004669.txt
SUNRISE REAL ESTATE GROUP INC,0001083490,10-K,2021-04-30,edgar/data/1083490/0001104659-21-058970.txt
WORLD ACCEPTANCE CORP,0000108385,10-K,2021-06-02,edgar/data/108385/0000108385-21-000054.txt
PARETEUM Corp,0001084384,10-K,2021-06-17,edgar/data/1084384/0001628280-21-012457.txt
"Video River Networks, Inc.",0001084475,10-K,2021-04-14,edgar/data/1084475/0001760319-21-000037.txt
Community Redevelopment Inc.,0001084551,10-K,2021-04-14,edgar/data/1084551/0001683168-21-001378.txt
"SKINVISIBLE, INC.",0001085277,10-K,2021-04-15,edgar/data/1085277/0001663577-21-000186.txt
NOVAGANT CORP,0001089297,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001168.txt
NOVAGANT CORP,0001089297,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001172.txt
NOVAGANT CORP,0001089297,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001180.txt
NOVAGANT CORP,0001089297,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001182.txt
NOVAGANT CORP,0001089297,10-K,2021-05-17,edgar/data/1089297/0001096906-21-001184.txt
"U.S. NeuroSurgical Holdings, Inc.",0001089815,10-K,2021-04-07,edgar/data/1089815/0001140361-21-011976.txt
"SMITH & WESSON BRANDS, INC.",0001092796,10-K,2021-06-17,edgar/data/1092796/0001564590-21-033352.txt
PLUG POWER INC,0001093691,10-K,2021-05-14,edgar/data/1093691/0001558370-21-007147.txt
"Worksport, Ltd",0001096275,10-K,2021-04-13,edgar/data/1096275/0001493152-21-008647.txt
"GT Biopharma, Inc.",0000109657,10-K,2021-04-16,edgar/data/109657/0001654954-21-004295.txt
"ADVANCED CONTAINER TECHNOLOGIES, INC.",0001096950,10-K,2021-04-16,edgar/data/1096950/0001721868-21-000228.txt
MANHATTAN SCIENTIFICS INC,0001099132,10-K,2021-04-15,edgar/data/1099132/0001477932-21-002379.txt
SEAFARER EXPLORATION CORP,0001106213,10-K,2021-04-12,edgar/data/1106213/0001199835-21-000180.txt
ENTRAVISION COMMUNICATIONS CORP,0001109116,10-K,2021-04-12,edgar/data/1109116/0001564590-21-018394.txt
ARVANA INC,0001113313,10-K,2021-04-09,edgar/data/1113313/0001607062-21-000080.txt
BUILD-A-BEAR WORKSHOP INC,0001113809,10-K,2021-04-15,edgar/data/1113809/0001437749-21-009026.txt
"CBAK Energy Technology, Inc.",0001117171,10-K,2021-04-13,edgar/data/1117171/0001213900-21-021294.txt
PCT LTD,0001119897,10-K,2021-04-13,edgar/data/1119897/0001554795-21-000130.txt
"FEARLESS FILMS, INC.",0001122742,10-K,2021-04-15,edgar/data/1122742/0001096906-21-000774.txt
GSI TECHNOLOGY INC,0001126741,10-K,2021-06-04,edgar/data/1126741/0001558370-21-008016.txt
"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",0001132105,10-K,2021-04-02,edgar/data/1132105/0001558370-21-003940.txt
"Charlie's Holdings, Inc.",0001134765,10-K,2021-04-05,edgar/data/1134765/0001654954-21-003838.txt
XLR MEDICAL CORP.,0001138608,10-K,2021-04-15,edgar/data/1138608/0001477932-21-002407.txt
"Global Arena Holding, Inc.",0001138724,10-K,2021-04-07,edgar/data/1138724/0001014897-21-000009.txt
"TAURIGA SCIENCES, INC.",0001142790,10-K,2021-06-29,edgar/data/1142790/0001493152-21-015598.txt
"ECO INNOVATION GROUP, INC.",0001144169,10-K,2021-04-15,edgar/data/1144169/0001079973-21-000285.txt
"FICAAR, INC",0001144546,10-K,2021-04-13,edgar/data/1144546/0001683168-21-001336.txt
HOUSTON AMERICAN ENERGY CORP,0001156041,10-K,2021-04-01,edgar/data/1156041/0001493152-21-007599.txt
"C2E ENERGY, INC.",0001160798,10-K,2021-04-06,edgar/data/1160798/0001213900-21-020286.txt
"GROWLIFE, INC.",0001161582,10-K,2021-04-15,edgar/data/1161582/0001654954-21-004248.txt
MORGAN GROUP HOLDING CO,0001162283,10-K,2021-04-05,edgar/data/1162283/0001140361-21-011666.txt
NEW PEOPLES BANKSHARES INC,0001163389,10-K,2021-04-08,edgar/data/1163389/0001721868-21-000204.txt
PACIFIC VEGAS GLOBAL STRATEGIES INC,0001163612,10-K,2021-04-14,edgar/data/1163612/0001104659-21-050181.txt
"DAYBREAK OIL & GAS, INC.",0001164256,10-K,2021-05-27,edgar/data/1164256/0001515971-21-000051.txt
EARTH LIFE SCIENCES INC,0001165639,10-K,2021-05-05,edgar/data/1165639/0001199835-21-000260.txt
Desert Hawk Gold Corp.,0001168081,10-K,2021-04-19,edgar/data/1168081/0001213900-21-022129.txt
COMMVAULT SYSTEMS INC,0001169561,10-K,2021-05-13,edgar/data/1169561/0001169561-21-000018.txt
CARMAX INC,0001170010,10-K,2021-04-20,edgar/data/1170010/0001170010-21-000053.txt
"Sundance Strategies, Inc.",0001171838,10-K,2021-06-29,edgar/data/1171838/0001493152-21-015565.txt
LIBERTY STAR URANIUM & METALS CORP.,0001172178,10-K,2021-05-03,edgar/data/1172178/0001493152-21-010343.txt
"UNIROYAL GLOBAL ENGINEERED PRODUCTS, INC.",0001172706,10-K,2021-04-01,edgar/data/1172706/0001214659-21-003817.txt
"CalEthos, Inc.",0001174891,10-K,2021-06-30,edgar/data/1174891/0001493152-21-015690.txt
DAKOTA TERRITORY RESOURCE CORP,0001182737,10-K,2021-06-29,edgar/data/1182737/0001078782-21-000608.txt
CHUN CAN CAPITAL GROUP,0001191334,10-K,2021-04-21,edgar/data/1191334/0001191334-21-000005.txt
"Grapefruit USA, Inc",0001205181,10-K,2021-04-20,edgar/data/1205181/0001493152-21-009200.txt
NISSAN MASTER OWNER TRUST RECEIVABLES,0001236424,10-K,2021-06-29,edgar/data/1236424/0001193125-21-203290.txt
COMMONWEALTH INCOME & GROWTH FUND V,0001253347,10-K,2021-04-19,edgar/data/1253347/0001654954-21-004298.txt
H&R BLOCK INC,0000012659,10-K,2021-06-15,edgar/data/12659/0001838862-21-000028.txt
BF Garden Tax Credit Fund V L.P.,0001267425,10-K,2021-06-28,edgar/data/1267425/0001104659-21-086267.txt
"Simply, Inc.",0001274032,10-K,2021-04-30,edgar/data/1274032/0001564590-21-022561.txt
"SCIENTIFIC ENERGY, INC",0001276531,10-K,2021-04-15,edgar/data/1276531/0001276531-21-000003.txt
APOLLO INVESTMENT CORP,0001278752,10-K,2021-05-20,edgar/data/1278752/0001278752-21-000017.txt
"Dolphin Entertainment, Inc.",0001282224,10-K,2021-04-15,edgar/data/1282224/0001553350-21-000296.txt
"China Carbon Graphite Group, Inc.",0001284450,10-K,2021-04-15,edgar/data/1284450/0001213900-21-021756.txt
ENVIRONMENTAL CONTROL CORP.,0001284454,10-K,2021-05-21,edgar/data/1284454/0001477932-21-003467.txt
