Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,OCC,,10-K,2020-12-21,edgar/data/1000230/0001437749-20-025692.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,GEOS,,10-K,2020-11-20,edgar/data/1001115/0001564590-20-054742.txt
"Nuance Communications, Inc.",0001002517,,,10-K,2020-11-19,edgar/data/1002517/0001002517-20-000058.txt
"STAR GROUP, L.P.",0001002590,SGU,,10-K,2020-12-07,edgar/data/1002590/0001564590-20-056309.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,MSM,,10-K,2020-10-27,edgar/data/1003078/0001003078-20-000283.txt
BARNWELL INDUSTRIES INC,0000010048,BRN,,10-K,2020-12-16,edgar/data/10048/0000010048-20-000025.txt
"TYSON FOODS, INC.",0000100493,TSN,,10-K,2020-11-16,edgar/data/100493/0000100493-20-000132.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,SPH,,10-K,2020-11-25,edgar/data/1005210/0001564590-20-055186.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,,,10-K,2020-12-29,edgar/data/1005276/0001005276-20-000012.txt
IDT CORP,0001005731,IDT,,10-K,2020-10-14,edgar/data/1005731/0001213900-20-031279.txt
"PURE BIOSCIENCE, INC.",0001006028,PURE,,10-K,2020-10-08,edgar/data/1006028/0001493152-20-019153.txt
"Cang Bao Tian Xia International Art Trade Center, Inc.",0001006840,,,10-K,2020-10-13,edgar/data/1006840/0001553350-20-000925.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2020-10-15,edgar/data/1012493/0001558370-20-011490.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,FDS,,10-K,2020-10-29,edgar/data/1013237/0001013237-20-000153.txt
"Digerati Technologies, Inc.",0001014052,DTGI,,10-K,2020-10-29,edgar/data/1014052/0001213900-20-033960.txt
CIPHERLOC Corp,0001022505,SDCHD,,10-K,2020-12-29,edgar/data/1022505/0001493152-20-024396.txt
"StemGen, Inc.",0001023198,,,10-K,2020-10-09,edgar/data/1023198/0001161697-20-000436.txt
SIMULATIONS PLUS INC,0001023459,SLP,,10-K,2020-11-16,edgar/data/1023459/0001683168-20-003974.txt
NATIONAL HOLDINGS CORP,0001023844,,,10-K,2020-12-29,edgar/data/1023844/0001437749-20-026055.txt
"ROCKWELL AUTOMATION, INC",0001024478,ROK,,10-K,2020-11-10,edgar/data/1024478/0001024478-20-000038.txt
SONIC FOUNDRY INC,0001029744,,,10-K,2020-12-22,edgar/data/1029744/0001437749-20-025808.txt
"MAXIMUS, INC.",0001032220,MMS,,10-K,2020-11-19,edgar/data/1032220/0001032220-20-000102.txt
VILLAGE SUPER MARKET INC,0000103595,VLGEA,,10-K,2020-10-08,edgar/data/103595/0000103595-20-000033.txt
PRICESMART INC,0001041803,PSMT,,10-K,2020-10-30,edgar/data/1041803/0001041803-20-000047.txt
"Track Group, Inc.",0001045942,TRCK,,10-K,2020-12-23,edgar/data/1045942/0001654954-20-013848.txt
TIMBERLAND BANCORP INC,0001046050,TSBK,,10-K,2020-12-09,edgar/data/1046050/0000939057-20-000445.txt
"IES Holdings, Inc.",0001048268,IESC,,10-K,2020-12-07,edgar/data/1048268/0001048268-20-000033.txt
"F5 NETWORKS, INC.",0001048695,FFIV,,10-K,2020-11-19,edgar/data/1048695/0001048695-20-000041.txt
WD 40 CO,0000105132,WDFC,,10-K,2020-10-21,edgar/data/105132/0000105132-20-000046.txt
MARINEMAX INC,0001057060,HZO,,10-K,2020-12-02,edgar/data/1057060/0001564590-20-055931.txt
GENEREX BIOTECHNOLOGY CORP,0001059784,,,10-K,2020-11-13,edgar/data/1059784/0001607062-20-000327.txt
PEREGRINE INDUSTRIES INC,0001061164,,,10-K,2020-10-29,edgar/data/1061164/0001262463-20-000424.txt
RGC RESOURCES INC,0001069533,RGCO,,10-K,2020-12-03,edgar/data/1069533/0001069533-20-000046.txt
"SolarWindow Technologies, Inc.",0001071840,WNDW,,10-K,2020-11-10,edgar/data/1071840/0001171843-20-007829.txt
YUMMIES INC,0001073748,,,10-K,2020-12-30,edgar/data/1073748/0001213900-20-045366.txt
"KNOW LABS, INC.",0001074828,USBC,,10-K,2020-12-29,edgar/data/1074828/0001654954-20-013963.txt
WINNEBAGO INDUSTRIES INC,0000107687,WGO,,10-K,2020-10-21,edgar/data/107687/0000107687-20-000035.txt
"Rivulet Media, Inc.",0001079282,,,10-K,2020-11-12,edgar/data/1079282/0001199835-20-000298.txt
BECTON DICKINSON & CO,0000010795,BDX,,10-K,2020-11-25,edgar/data/10795/0000010795-20-000055.txt
"VISIUM TECHNOLOGIES, INC.",0001082733,VISM,,10-K,2020-10-09,edgar/data/1082733/0001654954-20-010986.txt
"Woodward, Inc.",0000108312,WWD,,10-K,2020-11-20,edgar/data/108312/0001564590-20-054809.txt
SUNRISE REAL ESTATE GROUP INC,0001083490,SRRE,,10-K,2020-10-20,edgar/data/1083490/0001104659-20-116418.txt
