Company Name,CIK,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,10-K,2019-03-13,edgar/data/1000209/0001193125-19-073307.txt
HENRY SCHEIN INC,0001000228,10-K,2019-02-20,edgar/data/1000228/0001000228-19-000015.txt
CORE LABORATORIES N V,0001000229,10-K,2019-02-11,edgar/data/1000229/0001000229-19-000021.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2019-03-15,edgar/data/1000232/0001558370-19-002105.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2019-03-15,edgar/data/1000298/0001558370-19-002167.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2019-03-01,edgar/data/1000623/0001000623-19-000048.txt
NOVAVAX INC,0001000694,10-K,2019-03-18,edgar/data/1000694/0001144204-19-014640.txt
WATERS CORP /DE/,0001000697,10-K,2019-02-26,edgar/data/1000697/0001193125-19-051872.txt
"INSPERITY, INC.",0001000753,10-K,2019-02-11,edgar/data/1000753/0001000753-19-000007.txt
DISH Network CORP,0001001082,10-K,2019-02-13,edgar/data/1001082/0001558370-19-000607.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2019-03-29,edgar/data/1001171/0001047469-19-001784.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2019-02-15,edgar/data/100122/0000100122-19-000004.txt
"SANGAMO THERAPEUTICS, INC",0001001233,10-K,2019-03-01,edgar/data/1001233/0001564590-19-005808.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2019-03-01,edgar/data/1001316/0001654954-19-002189.txt
NORTHWEST PIPE CO,0001001385,10-K,2019-03-15,edgar/data/1001385/0001437749-19-005087.txt
TENGASCO INC,0001001614,10-K,2019-03-28,edgar/data/1001614/0001567619-19-007789.txt
SOUTHERN COPPER CORP/,0001001838,10-K,2019-03-01,edgar/data/1001838/0001047469-19-000845.txt
INTEVAC INC,0001001902,10-K,2019-02-13,edgar/data/1001902/0001193125-19-037939.txt
AMEREN CORP,0001002910,10-K,2019-02-26,edgar/data/1002910/0001002910-19-000094.txt
"MMA Capital Holdings, Inc.",0001003201,10-K,2019-03-14,edgar/data/1003201/0001558370-19-001956.txt
DUKE REALTY LIMITED PARTNERSHIP/,0001003410,10-K,2019-02-22,edgar/data/1003410/0000783280-19-000010.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,10-K,2019-03-25,edgar/data/1003509/0001193125-19-085443.txt
BCTC IV ASSIGNOR CORP,0001003815,10-K,2019-03-04,edgar/data/1003815/0001003815-19-000002.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,10-K,2019-02-21,edgar/data/1004036/0000899715-19-000060.txt
SOUTHERN Co GAS,0001004155,10-K,2019-02-20,edgar/data/1004155/0000092122-19-000006.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,10-K,2019-02-22,edgar/data/1004434/0001004434-19-000008.txt
OCEANFIRST FINANCIAL CORP,0001004702,10-K,2019-03-18,edgar/data/1004702/0001004702-19-000076.txt
PG&E Corp,0001004980,10-K,2019-02-28,edgar/data/1004980/0001004980-19-000004.txt
"GRAPHIC PACKAGING INTERNATIONAL, LLC",0001005011,10-K,2019-02-13,edgar/data/1005011/0001005011-19-000004.txt
"United Continental Holdings, Inc.",0000100517,10-K,2019-02-28,edgar/data/100517/0000100517-19-000009.txt
"Assertio Therapeutics, Inc",0001005201,10-K,2019-03-11,edgar/data/1005201/0001005201-19-000040.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,10-K,2019-02-21,edgar/data/1005284/0001564590-19-003665.txt
DIME COMMUNITY BANCSHARES INC,0001005409,10-K,2019-03-14,edgar/data/1005409/0001140361-19-004954.txt
CSG SYSTEMS INTERNATIONAL INC,0001005757,10-K,2019-02-22,edgar/data/1005757/0001564590-19-003884.txt
TOMPKINS FINANCIAL CORP,0001005817,10-K,2019-03-01,edgar/data/1005817/0001005817-19-000003.txt
IRIDEX CORP,0001006045,10-K,2019-03-29,edgar/data/1006045/0001564590-19-010196.txt
LORAL SPACE & COMMUNICATIONS INC.,0001006269,10-K,2019-03-18,edgar/data/1006269/0001558370-19-002187.txt
"Protalix BioTherapeutics, Inc.",0001006281,10-K,2019-03-18,edgar/data/1006281/0001144204-19-014464.txt
"HC2 HOLDINGS, INC.",0001006837,10-K,2019-03-12,edgar/data/1006837/0001006837-19-000018.txt
COFFEE HOLDING CO INC,0001007019,10-K,2019-01-29,edgar/data/1007019/0001493152-19-001104.txt
BANK OF SOUTH CAROLINA CORP,0001007273,10-K,2019-03-04,edgar/data/1007273/0001387131-19-001670.txt
"PRGX GLOBAL, INC.",0001007330,10-K,2019-03-18,edgar/data/1007330/0001007330-19-000004.txt
KVH INDUSTRIES INC \DE\,0001007587,10-K,2019-03-01,edgar/data/1007587/0001007587-19-000007.txt
UNION CARBIDE CORP /NEW/,0000100790,10-K,2019-02-11,edgar/data/100790/0000029915-19-000004.txt
UNION ELECTRIC CO,0000100826,10-K,2019-02-26,edgar/data/100826/0001002910-19-000094.txt
HIGHLANDS BANKSHARES INC /VA/,0001008579,10-K,2019-03-28,edgar/data/1008579/0001008579-19-000007.txt
TUPPERWARE BRANDS CORP,0001008654,10-K,2019-02-26,edgar/data/1008654/0001008654-19-000013.txt
ACORDA THERAPEUTICS INC,0001008848,10-K,2019-02-27,edgar/data/1008848/0001564590-19-004986.txt
UNION PACIFIC CORP,0000100885,10-K,2019-02-08,edgar/data/100885/0000100885-19-000060.txt
CARBO CERAMICS INC,0001009672,10-K,2019-02-28,edgar/data/1009672/0001564590-19-005345.txt
JAKKS PACIFIC INC,0001009829,10-K,2019-03-18,edgar/data/1009829/0001628280-19-003040.txt
SIGA TECHNOLOGIES INC,0001010086,10-K,2019-03-06,edgar/data/1010086/0001010086-19-000007.txt
SYKES ENTERPRISES INC,0001010612,10-K,2019-02-26,edgar/data/1010612/0001564590-19-004457.txt
"CYNERGISTEK, INC",0001011432,10-K,2019-03-27,edgar/data/1011432/0001445866-19-000298.txt
"Medical Information Technology, Inc.",0001011452,10-K,2019-01-31,edgar/data/1011452/0001011452-19-000002.txt
Golden Minerals Co,0001011509,10-K,2019-02-28,edgar/data/1011509/0001558370-19-001218.txt
KNOLL INC,0001011570,10-K,2019-02-26,edgar/data/1011570/0001011570-19-000009.txt
MUFG Americas Holdings Corp,0001011659,10-K,2019-02-28,edgar/data/1011659/0001628280-19-002156.txt
UNITED FIRE GROUP INC,0000101199,10-K,2019-02-28,edgar/data/101199/0000101199-19-000040.txt
RUSH ENTERPRISES INC \TX\,0001012019,10-K,2019-02-25,edgar/data/1012019/0001437749-19-003282.txt
SEALED AIR CORP/DE,0001012100,10-K,2019-02-19,edgar/data/1012100/0001628280-19-001538.txt
AVADEL PHARMACEUTICALS PLC,0001012477,10-K,2019-03-15,edgar/data/1012477/0001012477-19-000002.txt
GENESEE & WYOMING INC,0001012620,10-K,2019-02-26,edgar/data/1012620/0001012620-19-000004.txt
FBL FINANCIAL GROUP INC,0001012771,10-K,2019-02-27,edgar/data/1012771/0001012771-19-000008.txt
UNITED GUARDIAN INC,0000101295,10-K,2019-03-21,edgar/data/101295/0001171843-19-001878.txt
NORWOOD FINANCIAL CORP,0001013272,10-K,2019-03-14,edgar/data/1013272/0000946275-19-000014.txt
ANSYS INC,0001013462,10-K,2019-02-28,edgar/data/1013462/0001013462-19-000003.txt
BJs RESTAURANTS INC,0001013488,10-K,2019-02-26,edgar/data/1013488/0001564590-19-004224.txt
"Wilhelmina International, Inc.",0001013706,10-K,2019-03-20,edgar/data/1013706/0001171843-19-001849.txt
UMB FINANCIAL CORP,0000101382,10-K,2019-03-01,edgar/data/101382/0001564590-19-005761.txt
PEGASYSTEMS INC,0001013857,10-K,2019-02-20,edgar/data/1013857/0001013857-19-000005.txt
"NRG ENERGY, INC.",0001013871,10-K,2019-02-28,edgar/data/1013871/0001013871-19-000007.txt
"TTEC Holdings, Inc.",0001013880,10-K,2019-03-06,edgar/data/1013880/0001558370-19-001597.txt
"Strategic Education, Inc.",0001013934,10-K,2019-03-01,edgar/data/1013934/0001558370-19-001422.txt
VERISIGN INC/CA,0001014473,10-K,2019-02-15,edgar/data/1014473/0001014473-19-000005.txt
"BioScrip, Inc.",0001014739,10-K,2019-03-15,edgar/data/1014739/0001014739-19-000012.txt
WINTRUST FINANCIAL CORP,0001015328,10-K,2019-02-28,edgar/data/1015328/0001015328-19-000055.txt
AWARE INC /MA/,0001015739,10-K,2019-02-19,edgar/data/1015739/0001144204-19-008788.txt
E TRADE FINANCIAL CORP,0001015780,10-K,2019-02-20,edgar/data/1015780/0001015780-19-000060.txt
ULTIMATE SOFTWARE GROUP INC,0001016125,10-K,2019-03-01,edgar/data/1016125/0001016125-19-000041.txt
"ANTARES PHARMA, INC.",0001016169,10-K,2019-03-12,edgar/data/1016169/0001564590-19-007398.txt
CARRIAGE SERVICES INC,0001016281,10-K,2019-02-28,edgar/data/1016281/0001016281-19-000042.txt
