Company Name,CIK,Form Type,Date Filed,Filename
Entertainment Gaming Asia Inc.,0001004673,10-K,2015-03-26,edgar/data/1004673/0001144204-15-018731.txt
OCEANFIRST FINANCIAL CORP,0001004702,10-K,2015-03-13,edgar/data/1004702/0001193125-15-091159.txt
"ADCARE HEALTH SYSTEMS, INC",0001004724,10-K,2015-03-31,edgar/data/1004724/0001004724-15-000028.txt
PG&E Corp,0001004980,10-K,2015-02-10,edgar/data/1004980/0001004980-15-000010.txt
ML TREND-FOLLOWING FUTURES FUND L.P.,0001005177,10-K,2015-03-20,edgar/data/1005177/0001104659-15-021269.txt
"United Continental Holdings, Inc.",0000100517,10-K,2015-02-20,edgar/data/100517/0001193125-15-056493.txt
DEPOMED INC,0001005201,10-K,2015-02-26,edgar/data/1005201/0001047469-15-001308.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,10-K,2015-02-26,edgar/data/1005284/0001005284-15-000019.txt
DIME COMMUNITY BANCSHARES INC,0001005409,10-K,2015-03-16,edgar/data/1005409/0001005409-15-000015.txt
TOYS R US INC,0001005414,10-K,2015-03-26,edgar/data/1005414/0001005414-15-000010.txt
MAGICJACK VOCALTEC LTD,0001005699,10-K,2015-03-16,edgar/data/1005699/0001178913-15-000885.txt
CSG SYSTEMS INTERNATIONAL INC,0001005757,10-K,2015-02-27,edgar/data/1005757/0001564590-15-001091.txt
TOMPKINS FINANCIAL CORP,0001005817,10-K,2015-03-16,edgar/data/1005817/0001387131-15-000903.txt
SIERRA MONITOR CORP /CA/,0000100625,10-K,2015-03-30,edgar/data/100625/0001144204-15-019420.txt
LORAL SPACE & COMMUNICATIONS INC.,0001006269,10-K,2015-03-02,edgar/data/1006269/0001144204-15-013290.txt
"Protalix BioTherapeutics, Inc.",0001006281,10-K,2015-03-12,edgar/data/1006281/0001144204-15-015672.txt
"BEAR STATE FINANCIAL, INC.",0001006424,10-K,2015-03-27,edgar/data/1006424/0001437749-15-006252.txt
"HC2 Holdings, Inc.",0001006837,10-K,2015-03-16,edgar/data/1006837/0001193125-15-094027.txt
COFFEE HOLDING CO INC,0001007019,10-K,2015-01-23,edgar/data/1007019/0001354488-15-000288.txt
UNICO AMERICAN CORP,0000100716,10-K,2015-03-31,edgar/data/100716/0000100716-15-000009.txt
BANK OF SOUTH CAROLINA CORP,0001007273,10-K,2015-03-09,edgar/data/1007273/0001387131-15-000795.txt
"PRGX GLOBAL, INC.",0001007330,10-K,2015-03-13,edgar/data/1007330/0001007330-15-000002.txt
KVH INDUSTRIES INC \DE\,0001007587,10-K,2015-03-17,edgar/data/1007587/0001007587-15-000002.txt
UNION CARBIDE CORP /NEW/,0000100790,10-K,2015-02-13,edgar/data/100790/0000029915-15-000009.txt
UNION ELECTRIC CO,0000100826,10-K,2015-03-02,edgar/data/100826/0001002910-15-000075.txt
HIGHLANDS BANKSHARES INC /VA/,0001008579,10-K,2015-03-30,edgar/data/1008579/0001002105-15-000020.txt
TUPPERWARE BRANDS CORP,0001008654,10-K,2015-02-24,edgar/data/1008654/0001008654-15-000004.txt
ACORDA THERAPEUTICS INC,0001008848,10-K,2015-02-27,edgar/data/1008848/0001008848-15-000009.txt
UNION PACIFIC CORP,0000100885,10-K,2015-02-06,edgar/data/100885/0001193125-15-037518.txt
SALIX PHARMACEUTICALS LTD,0001009356,10-K,2015-03-02,edgar/data/1009356/0001564590-15-001199.txt
CARBO CERAMICS INC,0001009672,10-K,2015-02-26,edgar/data/1009672/0001193125-15-065548.txt
JAKKS PACIFIC INC,0001009829,10-K,2015-03-16,edgar/data/1009829/0001157523-15-000949.txt
AIR INDUSTRIES GROUP,0001009891,10-K,2015-03-31,edgar/data/1009891/0001193805-15-000450.txt
COMMERCIAL BANCSHARES INC \OH\,0001009976,10-K,2015-03-16,edgar/data/1009976/0001144204-15-016136.txt
