Company Name,CIK,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,10-K,2019-08-23,edgar/data/1001250/0001104659-19-047085.txt
ASTROTECH Corp,0001001907,10-K,2019-09-30,edgar/data/1001907/0001564590-19-035928.txt
OPEN TEXT CORP,0001002638,10-K,2019-08-01,edgar/data/1002638/0001002638-19-000014.txt
TWIN DISC INC,0000100378,10-K,2019-08-29,edgar/data/100378/0001437749-19-017591.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2019-09-30,edgar/data/1005101/0001437749-19-019251.txt
LANDEC CORP \CA\,0001005286,10-K,2019-08-01,edgar/data/1005286/0001628280-19-009791.txt
EVOLUTION PETROLEUM CORP,0001006655,10-K,2019-09-13,edgar/data/1006655/0001006655-19-000033.txt
CONSUMERS BANCORP INC /OH/,0001006830,10-K,2019-09-12,edgar/data/1006830/0001437749-19-018303.txt
"Cang Bao Tian Xia International Art Trade Center, Inc.",0001006840,10-K,2019-09-19,edgar/data/1006840/0001553350-19-000968.txt
UNIFI INC,0000100726,10-K,2019-08-29,edgar/data/100726/0001564590-19-033600.txt
ECOMAT INC,0001008653,10-K,2019-09-27,edgar/data/1008653/0001493152-19-014663.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,10-K,2019-08-30,edgar/data/1010470/0000939057-19-000345.txt
AdvanSource Biomaterials Corp,0001011060,10-K,2019-08-22,edgar/data/1011060/0001556244-19-000078.txt
CHARLES & COLVARD LTD,0001015155,10-K,2019-09-06,edgar/data/1015155/0001140361-19-016211.txt
"AMMO, INC.",0001015383,10-K,2019-07-01,edgar/data/1015383/0001493152-19-010007.txt
US ENERGY CORP,0000101594,10-K,2019-09-16,edgar/data/101594/0001493152-19-014181.txt
INTEGRATED BIOPHARMA INC,0001016504,10-K,2019-08-29,edgar/data/1016504/0001437749-19-017611.txt
UNIVERSAL SECURITY INSTRUMENTS INC,0000102109,10-K,2019-07-15,edgar/data/102109/0001144204-19-034727.txt
"Carnegie Development, Inc",0001024095,10-K,2019-08-22,edgar/data/1024095/0001477932-19-005095.txt
COTY INC.,0001024305,10-K,2019-08-28,edgar/data/1024305/0001024305-19-000097.txt
OSI SYSTEMS INC,0001039065,10-K,2019-08-27,edgar/data/1039065/0001047469-19-004853.txt
NETSOL TECHNOLOGIES INC,0001039280,10-K,2019-09-23,edgar/data/1039280/0001493152-19-014421.txt
AEHR TEST SYSTEMS,0001040470,10-K,2019-08-28,edgar/data/1040470/0001654954-19-010095.txt
FEDEX CORP,0001048911,10-K,2019-07-16,edgar/data/1048911/0001564590-19-025065.txt
MERCURY SYSTEMS INC,0001049521,10-K,2019-08-15,edgar/data/1049521/0001049521-19-000033.txt
HYPERTENSION DIAGNOSTICS INC /MN,0001058828,10-K,2019-09-17,edgar/data/1058828/0001683168-19-002943.txt
HYPERTENSION DIAGNOSTICS INC /MN,0001058828,10-K,2019-09-18,edgar/data/1058828/0001683168-19-002957.txt
WESTERN DIGITAL CORP,0000106040,10-K,2019-08-27,edgar/data/106040/0000106040-19-000058.txt
EGAIN Corp,0001066194,10-K,2019-09-12,edgar/data/1066194/0001558370-19-008598.txt
Future FinTech Group Inc.,0001066923,10-K,2019-09-03,edgar/data/1066923/0001213900-19-017066.txt
"CRACKER BARREL OLD COUNTRY STORE, INC",0001067294,10-K,2019-09-27,edgar/data/1067294/0001140361-19-017413.txt
PHIBRO ANIMAL HEALTH CORP,0001069899,10-K,2019-08-27,edgar/data/1069899/0001144204-19-041832.txt
GREENE COUNTY BANCORP INC,0001070524,10-K,2019-09-12,edgar/data/1070524/0001140361-19-016552.txt
