Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,EL,,10-K,2016-08-24,edgar/data/1001250/0001104659-16-141179.txt
ASTROTECH Corp,0001001907,ASTC,,10-K,2016-09-29,edgar/data/1001907/0001001907-16-000088.txt
OPEN TEXT CORP,0001002638,OTEX,,10-K,2016-07-27,edgar/data/1002638/0001002638-16-000080.txt
TWIN DISC INC,0000100378,TWIN,,10-K,2016-09-13,edgar/data/100378/0001437749-16-038597.txt
LANDEC CORP \CA\,0001005286,LFCR,,10-K,2016-08-01,edgar/data/1005286/0001437749-16-036012.txt
EVOLUTION PETROLEUM CORP,0001006655,EPM,,10-K,2016-09-09,edgar/data/1006655/0001006655-16-000132.txt
CONSUMERS BANCORP INC /OH/,0001006830,CBKM,,10-K,2016-09-22,edgar/data/1006830/0001437749-16-039025.txt
UNIFI INC,0000100726,UFI,,10-K,2016-08-26,edgar/data/100726/0001437749-16-038127.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,PROV,,10-K,2016-09-12,edgar/data/1010470/0000939057-16-000998.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2016-09-28,edgar/data/1012493/0000922358-16-000032.txt
CARVER BANCORP INC,0001016178,CARV,,10-K,2016-08-12,edgar/data/1016178/0001016178-16-000059.txt
INTEGRATED BIOPHARMA INC,0001016504,INBP,,10-K,2016-09-02,edgar/data/1016504/0001437749-16-038298.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2016-09-28,edgar/data/1020859/0001020859-16-000356.txt
"M2 nGage Group, Inc.",0001021096,,,10-K,2016-08-30,edgar/data/1021096/0001117768-16-001483.txt
UNIVERSAL SECURITY INSTRUMENTS INC,0000102109,UUU,,10-K,2016-09-28,edgar/data/102109/0001144204-16-125749.txt
"SG BLOCKS, INC.",0001023994,OLOX,,10-K,2016-07-21,edgar/data/1023994/0001213900-16-015154.txt
COTY INC.,0001024305,COTY,,10-K,2016-08-18,edgar/data/1024305/0001024305-16-000181.txt
Asia Travel Corp,0001027235,,,10-K,2016-07-05,edgar/data/1027235/0001549727-16-000143.txt
TRC COMPANIES INC /DE/,0000103096,,,10-K,2016-08-31,edgar/data/103096/0001511284-16-000127.txt
OSI SYSTEMS INC,0001039065,OSIS,,10-K,2016-08-19,edgar/data/1039065/0001047469-16-015059.txt
NETSOL TECHNOLOGIES INC,0001039280,NTWK,,10-K,2016-09-15,edgar/data/1039280/0001493152-16-013366.txt
NXChain Inc.,0001039757,,,10-K,2016-08-29,edgar/data/1039757/0001213900-16-016446.txt
AEHR TEST SYSTEMS,0001040470,AEHR,,10-K,2016-08-29,edgar/data/1040470/0001654954-16-001861.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,LSAK,,10-K,2016-08-25,edgar/data/1041514/0001062993-16-011301.txt
STAR BUFFET INC,0001043156,,,10-K,2016-08-18,edgar/data/1043156/0001437749-16-037755.txt
STAR BUFFET INC,0001043156,,,10-K,2016-08-18,edgar/data/1043156/0001437749-16-037757.txt
STAR BUFFET INC,0001043156,,,10-K,2016-08-18,edgar/data/1043156/0001437749-16-037761.txt
STAR BUFFET INC,0001043156,,,10-K,2016-08-18,edgar/data/1043156/0001437749-16-037763.txt
FEDEX CORP,0001048911,FDX,,10-K,2016-07-18,edgar/data/1048911/0001193125-16-650267.txt
MERCURY SYSTEMS INC,0001049521,MRCY,,10-K,2016-08-16,edgar/data/1049521/0001049521-16-000094.txt
MARVELL TECHNOLOGY GROUP LTD,0001058057,,,10-K,2016-07-21,edgar/data/1058057/0001193125-16-653778.txt
"bebe stores, inc.",0001059272,,,10-K,2016-09-28,edgar/data/1059272/0001059272-16-000138.txt
WESTERN DIGITAL CORP,0000106040,WDC,,10-K,2016-08-29,edgar/data/106040/0000106040-16-000033.txt
PEREGRINE INDUSTRIES INC,0001061164,,,10-K,2016-09-28,edgar/data/1061164/0001295345-16-000691.txt
EGAIN Corp,0001066194,EGAN,,10-K,2016-09-13,edgar/data/1066194/0001558370-16-008328.txt
"CRACKER BARREL OLD COUNTRY STORE, INC",0001067294,CBRL,,10-K,2016-09-26,edgar/data/1067294/0001140361-16-080733.txt
PHIBRO ANIMAL HEALTH CORP,0001069899,PAHC,,10-K,2016-08-29,edgar/data/1069899/0001571049-16-017853.txt
GREENE COUNTY BANCORP INC,0001070524,GCBC,,10-K,2016-09-28,edgar/data/1070524/0001140361-16-080871.txt
BOTTOMLINE TECHNOLOGIES INC /DE/,0001073349,,,10-K,2016-08-29,edgar/data/1073349/0001193125-16-694935.txt
BEAR LAKE RECREATION INC,0001074871,MODD,,10-K,2016-09-26,edgar/data/1074871/0001548123-16-000689.txt
SENSE TECHNOLOGIES INC,0001077638,,,10-K,2016-08-15,edgar/data/1077638/0001185185-16-005212.txt
EXTREME NETWORKS INC,0001078271,EXTR,,10-K,2016-09-06,edgar/data/1078271/0001564590-16-024924.txt
"Progreen US, Inc.",0001079297,,,10-K,2016-08-15,edgar/data/1079297/0001213900-16-015982.txt
PATRIOT GOLD CORP,0001080448,PGOL,,10-K,2016-09-02,edgar/data/1080448/0001683168-16-000009.txt
NATION ENERGY INC,0001081183,,,10-K,2016-07-01,edgar/data/1081183/0001570931-16-000070.txt
"Great Elm Capital Group, Inc.",0001082506,,,10-K,2016-09-14,edgar/data/1082506/0001558370-16-008344.txt
ENXNET INC,0001083706,,,10-K,2016-07-01,edgar/data/1083706/0000721748-16-001415.txt
"Flux Power Holdings, Inc.",0001083743,FLUX,,10-K,2016-09-26,edgar/data/1083743/0001437749-16-039123.txt
"BUSINESS.VN, INC.",0001084370,,,10-K,2016-09-19,edgar/data/1084370/0001477932-16-012575.txt
RESOURCES CONNECTION INC,0001084765,RGP,,10-K,2016-08-11,edgar/data/1084765/0001193125-16-678405.txt
1 800 FLOWERS COM INC,0001084869,FLWS,,10-K,2016-09-16,edgar/data/1084869/0001437749-16-038804.txt
WORTHINGTON INDUSTRIES INC,0000108516,WOR,,10-K,2016-08-01,edgar/data/108516/0001193125-16-666636.txt
WPCS INTERNATIONAL INC,0001086745,SBLX,,10-K,2016-07-28,edgar/data/1086745/0001144204-16-115014.txt
"GREYSTONE LOGISTICS, INC.",0001088413,GLGI,,10-K,2016-08-29,edgar/data/1088413/0001493152-16-012968.txt
COLLECTORS UNIVERSE INC,0001089143,,,10-K,2016-08-30,edgar/data/1089143/0001437749-16-038220.txt
"DETERMINE, INC.",0001090908,,,10-K,2016-07-01,edgar/data/1090908/0001437749-16-034757.txt
"MEDINA INTERNATIONAL HOLDINGS, INC.",0001093248,,,10-K,2016-08-15,edgar/data/1093248/0001493152-16-012468.txt
"ARKADOS GROUP, INC.",0001095130,,,10-K,2016-09-21,edgar/data/1095130/0001615774-16-007303.txt
APPLIED INDUSTRIAL TECHNOLOGIES INC,0000109563,AIT,,10-K,2016-08-24,edgar/data/109563/0000109563-16-000283.txt
