Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,EL,,10-K,2021-08-27,edgar/data/1001250/0001001250-21-000127.txt
ASTROTECH Corp,0001001907,ASTC,,10-K,2021-09-21,edgar/data/1001907/0001564590-21-048370.txt
OPEN TEXT CORP,0001002638,OTEX,,10-K,2021-08-05,edgar/data/1002638/0001002638-21-000029.txt
TWIN DISC INC,0000100378,TWIN,,10-K,2021-09-02,edgar/data/100378/0001437749-21-021350.txt
CONCIERGE TECHNOLOGIES INC,0001005101,MGLD,,10-K,2021-09-22,edgar/data/1005101/0001437749-21-022532.txt
LANDEC CORP \CA\,0001005286,LFCR,,10-K,2021-07-29,edgar/data/1005286/0001005286-21-000043.txt
EVOLUTION PETROLEUM CORP,0001006655,EPM,,10-K,2021-09-14,edgar/data/1006655/0001006655-21-000037.txt
CONSUMERS BANCORP INC /OH/,0001006830,CBKM,,10-K,2021-09-16,edgar/data/1006830/0001437749-21-022257.txt
UNIFI INC,0000100726,UFI,,10-K,2021-08-25,edgar/data/100726/0001564590-21-045705.txt
"Ecomax, Inc",0001008653,,,10-K,2021-09-28,edgar/data/1008653/0001493152-21-023925.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,PROV,,10-K,2021-09-03,edgar/data/1010470/0000939057-21-000274.txt
EKIMAS Corp,0001011060,NORD,,10-K,2021-07-16,edgar/data/1011060/0001493152-21-017036.txt
EKIMAS Corp,0001011060,NORD,,10-K,2021-09-22,edgar/data/1011060/0001493152-21-023342.txt
"GlassBridge Enterprises, Inc.",0001014111,,,10-K,2021-08-04,edgar/data/1014111/0001493152-21-018560.txt
CHARLES & COLVARD LTD,0001015155,,,10-K,2021-09-03,edgar/data/1015155/0001140361-21-030270.txt
INTEGRATED BIOPHARMA INC,0001016504,INBP,,10-K,2021-09-02,edgar/data/1016504/0001437749-21-021375.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2021-09-28,edgar/data/1020859/0001020859-21-000083.txt
"Troika Media Group, Inc.",0001021096,,,10-K,2021-09-29,edgar/data/1021096/0001477932-21-006888.txt
UNIVERSAL SECURITY INSTRUMENTS INC,0000102109,UUU,,10-K,2021-07-08,edgar/data/102109/0001104659-21-090272.txt
COTY INC.,0001024305,COTY,,10-K,2021-08-26,edgar/data/1024305/0001024305-21-000063.txt
OSI SYSTEMS INC,0001039065,OSIS,,10-K,2021-08-23,edgar/data/1039065/0001104659-21-108619.txt
NETSOL TECHNOLOGIES INC,0001039280,NTWK,,10-K,2021-09-28,edgar/data/1039280/0001493152-21-023957.txt
AEHR TEST SYSTEMS,0001040470,AEHR,,10-K,2021-08-27,edgar/data/1040470/0001654954-21-009505.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,LSAK,,10-K,2021-09-13,edgar/data/1041514/0001562762-21-000349.txt
FEDEX CORP,0001048911,FDX,,10-K,2021-07-19,edgar/data/1048911/0001564590-21-037031.txt
MERCURY SYSTEMS INC,0001049521,MRCY,,10-K,2021-08-17,edgar/data/1049521/0001049521-21-000032.txt
WESTERN DIGITAL CORP,0000106040,WDC,,10-K,2021-08-27,edgar/data/106040/0000106040-21-000040.txt
