Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,MBNKO,,10-K,2017-03-14,edgar/data/1000209/0001193125-17-082178.txt
HENRY SCHEIN INC,0001000228,HSIC,,10-K,2017-02-21,edgar/data/1000228/0001000228-17-000011.txt
CORE LABORATORIES N V,0001000229,,,10-K,2017-02-10,edgar/data/1000229/0001000229-17-000025.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,,,10-K,2017-03-30,edgar/data/1000232/0001558370-17-002297.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,IMPM,,10-K,2017-03-09,edgar/data/1000298/0001558370-17-001542.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,MATV,,10-K,2017-02-24,edgar/data/1000623/0001000623-17-000036.txt
BLONDER TONGUE LABORATORIES INC,0001000683,,,10-K,2017-03-31,edgar/data/1000683/0001144204-17-017902.txt
NOVAVAX INC,0001000694,NVAX,,10-K,2017-02-27,edgar/data/1000694/0001144204-17-011334.txt
WATERS CORP /DE/,0001000697,WAT,,10-K,2017-02-24,edgar/data/1000697/0001193125-17-056239.txt
"INSPERITY, INC.",0001000753,NSP,,10-K,2017-02-13,edgar/data/1000753/0001000753-17-000007.txt
DISH Network CORP,0001001082,,,10-K,2017-02-22,edgar/data/1001082/0001558370-17-000748.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,BYFC,,10-K,2017-03-27,edgar/data/1001171/0001047469-17-002044.txt
TUCSON ELECTRIC POWER CO,0000100122,,,10-K,2017-02-16,edgar/data/100122/0000100122-17-000003.txt
"SANGAMO THERAPEUTICS, INC",0001001233,SGMO,,10-K,2017-02-28,edgar/data/1001233/0001564590-17-002900.txt
"TG THERAPEUTICS, INC.",0001001316,TGTX,,10-K,2017-03-16,edgar/data/1001316/0001654954-17-002050.txt
NORTHWEST PIPE CO,0001001385,NWPX,,10-K,2017-03-09,edgar/data/1001385/0001437749-17-004132.txt
"Acacia Diversified Holdings, Inc.",0001001463,,,10-K,2017-03-28,edgar/data/1001463/0001185185-17-000668.txt
TENGASCO INC,0001001614,REPX,,10-K,2017-03-30,edgar/data/1001614/0001140361-17-014015.txt
SOUTHERN COPPER CORP/,0001001838,SCCO,,10-K,2017-03-01,edgar/data/1001838/0001047469-17-001143.txt
INTEVAC INC,0001001902,,,10-K,2017-02-15,edgar/data/1001902/0001193125-17-045231.txt
"LEARNING TREE INTERNATIONAL, INC.",0001002037,,,10-K,2017-01-13,edgar/data/1002037/0001437749-17-000670.txt
AMEREN CORP,0001002910,AEE,,10-K,2017-02-28,edgar/data/1002910/0001002910-17-000054.txt
"MMA CAPITAL MANAGEMENT, LLC",0001003201,,,10-K,2017-03-16,edgar/data/1003201/0001144204-17-014870.txt
DUKE REALTY LIMITED PARTNERSHIP/,0001003410,,,10-K,2017-02-17,edgar/data/1003410/0000783280-17-000012.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,,,10-K,2017-03-27,edgar/data/1003509/0001193125-17-097477.txt
IMPAX LABORATORIES INC,0001003642,,,10-K,2017-03-01,edgar/data/1003642/0001003642-17-000017.txt
BCTC IV ASSIGNOR CORP,0001003815,,,10-K,2017-03-17,edgar/data/1003815/0001003815-17-000002.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,,,10-K,2017-02-23,edgar/data/1004036/0000899715-17-000076.txt
SOUTHERN Co GAS,0001004155,,,10-K,2017-02-22,edgar/data/1004155/0000092122-17-000007.txt
GILLA INC.,0001004411,,,10-K,2017-03-31,edgar/data/1004411/0001654954-17-002948.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,MGRE,,10-K,2017-02-24,edgar/data/1004434/0001004434-17-000004.txt
OCEANFIRST FINANCIAL CORP,0001004702,OCFC,,10-K,2017-03-15,edgar/data/1004702/0001004702-17-000048.txt
PG&E Corp,0001004980,PCG-PX,,10-K,2017-02-16,edgar/data/1004980/0001004980-17-000006.txt
"United Continental Holdings, Inc.",0000100517,UAL,,10-K,2017-02-23,edgar/data/100517/0001193125-17-054129.txt
DEPOMED INC,0001005201,,,10-K,2017-02-24,edgar/data/1005201/0001558370-17-000959.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,OLED,,10-K,2017-02-23,edgar/data/1005284/0001564590-17-002217.txt
DIME COMMUNITY BANCSHARES INC,0001005409,,,10-K,2017-03-15,edgar/data/1005409/0001140361-17-012081.txt
MAGICJACK VOCALTEC LTD,0001005699,,,10-K,2017-03-16,edgar/data/1005699/0001178913-17-000808.txt
