Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
ECOM ECOM COM INC,0001000459,,,10-K,2010-09-13,edgar/data/1000459/0001000459-10-000004.txt
ECOM ECOM COM INC,0001000459,,,10-K,2010-09-13,edgar/data/1000459/0001000459-10-000008.txt
ECOM ECOM COM INC,0001000459,,,10-K,2010-09-13,edgar/data/1000459/0001000459-10-000012.txt
ESTEE LAUDER COMPANIES INC,0001001250,EL,,10-K,2010-08-20,edgar/data/1001250/0001104659-10-045250.txt
INTERNET AMERICA INC,0001001279,,,10-K,2010-09-23,edgar/data/1001279/0001144204-10-050628.txt
PERICOM SEMICONDUCTOR CORP,0001001426,,,10-K,2010-08-31,edgar/data/1001426/0001144204-10-047570.txt
ASTROTECH Corp \WA\,0001001907,ASTC,,10-K,2010-08-30,edgar/data/1001907/0000950123-10-082003.txt
OPEN TEXT CORP,0001002638,OTEX,,10-K,2010-08-20,edgar/data/1002638/0001193125-10-193608.txt
KENSEY NASH CORP,0001002811,,,10-K,2010-09-10,edgar/data/1002811/0001193125-10-208089.txt
TWIN DISC INC,0000100378,TWIN,,10-K,2010-09-13,edgar/data/100378/0000100378-10-000066.txt
PATAPSCO BANCORP INC,0001003961,,,10-K,2010-09-28,edgar/data/1003961/0001193125-10-218675.txt
LANDEC CORP \CA\,0001005286,LFCR,,10-K,2010-08-13,edgar/data/1005286/0001144204-10-043322.txt
FFD FINANCIAL CORP/OH,0001006177,,,10-K,2010-09-28,edgar/data/1006177/0000950156-10-000112.txt
Homeland Security Capital CORP,0001006459,,,10-K,2010-09-28,edgar/data/1006459/0000950123-10-089624.txt
EVOLUTION PETROLEUM CORP,0001006655,EPM,,10-K,2010-09-27,edgar/data/1006655/0001104659-10-050079.txt
CONSUMERS BANCORP INC /OH/,0001006830,CBKM,,10-K,2010-09-22,edgar/data/1006830/0001193125-10-214286.txt
EQUICAP INC,0001006840,,,10-K,2010-09-21,edgar/data/1006840/0001144204-10-050239.txt
UNIFI INC,0000100726,UFI,,10-K,2010-09-10,edgar/data/100726/0000950123-10-085111.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,PROV,,10-K,2010-09-13,edgar/data/1010470/0000939057-10-000288.txt
AdvanSource Biomaterials Corp,0001011060,NORD,,10-K,2010-07-01,edgar/data/1011060/0001068874-10-000041.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2010-09-28,edgar/data/1012493/0001104659-10-050128.txt
PROFILE TECHNOLOGIES INC,0001014653,,,10-K,2010-09-23,edgar/data/1014653/0001000096-10-000140.txt
DYNAMEX INC,0001015483,,,10-K,2010-09-22,edgar/data/1015483/0000950123-10-088167.txt
CARVER BANCORP INC,0001016178,CARV,,10-K,2010-07-15,edgar/data/1016178/0000950123-10-065790.txt
INTEGRATED BIOPHARMA INC,0001016504,INBP,,10-K,2010-09-28,edgar/data/1016504/0001016504-10-000012.txt
FIRST ACCEPTANCE CORP /DE/,0001017907,,,10-K,2010-08-31,edgar/data/1017907/0000950123-10-082694.txt
INTEGRAL TECHNOLOGIES INC,0001018281,,,10-K,2010-09-28,edgar/data/1018281/0001140361-10-038762.txt
"INTERNET INFINITY, INC.",0001020302,,,10-K,2010-07-14,edgar/data/1020302/0001437749-10-002202.txt
"Pacific Biomarkers, Inc.",0001020475,,,10-K,2010-09-23,edgar/data/1020475/0001144204-10-050681.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2010-09-27,edgar/data/1020859/0001047469-10-008276.txt
