CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000007332;SOUTHWESTERN ENERGY CO;FALSE;1;SOUTHWESTERN ENERGY CO
0000007431;ARMSTRONG WORLD INDUSTRIES INC;FALSE;1;ARMSTRONG WORLD INDUSTRIES INC
0000007536;ARROW ELECTRONICS, INC;TRUE;2;ARROW ELECTRONICS INC | ARROW ELECTRONICS, INC
0000007623;ARTS WAY MANUFACTURING CO INC;FALSE;1;ARTS WAY MANUFACTURING CO INC
0000007789;ASSOCIATED BANC-CORP;FALSE;1;ASSOCIATED BANC-CORP
0000007951;ROBERTSON GLOBAL HEALTH SOLUTIONS CORP;FALSE;1;ROBERTSON GLOBAL HEALTH SOLUTIONS CORP
0000008063;ASTRONICS CORP;FALSE;1;ASTRONICS CORP
0000008146;AstroNova, Inc.;TRUE;2;ASTRO MED INC /NEW/ | AstroNova, Inc.
0000008177;ATLANTIC AMERICAN CORP;FALSE;1;ATLANTIC AMERICAN CORP
0000008192;ATLANTIC CITY ELECTRIC CO;FALSE;1;ATLANTIC CITY ELECTRIC CO
0000008328;Applied Minerals, Inc.;FALSE;1;Applied Minerals, Inc.
0000008411;ATWOOD OCEANICS INC;FALSE;1;ATWOOD OCEANICS INC
0000008497;ASSURANCEAMERICA CORP;FALSE;1;ASSURANCEAMERICA CORP
0000008504;AgEagle Aerial Systems Inc.;TRUE;2;AgEagle Aerial Systems Inc. | EnerJex Resources, Inc.
0000008670;AUTOMATIC DATA PROCESSING INC;FALSE;1;AUTOMATIC DATA PROCESSING INC
0000008818;Avery Dennison Corp;TRUE;2;AVERY DENNISON CORPORATION | Avery Dennison Corp
0000008855;AMERICAN LOCKER GROUP INC;FALSE;1;AMERICAN LOCKER GROUP INC
0000008858;AVNET INC;FALSE;1;AVNET INC
0000008868;AVON PRODUCTS INC;FALSE;1;AVON PRODUCTS INC
0000008947;AZZ INC;FALSE;1;AZZ INC
0000009092;BADGER METER INC;FALSE;1;BADGER METER INC
0000009235;BKF CAPITAL GROUP INC;FALSE;1;BKF CAPITAL GROUP INC
0000009263;MICHAEL BAKER CORP;TRUE;2;BAKER MICHAEL CORP | MICHAEL BAKER CORP
0000009326;BALCHEM CORP;FALSE;1;BALCHEM CORP
0000009342;BALDOR ELECTRIC CO;FALSE;1;BALDOR ELECTRIC CO
0000009346;Protective Insurance Corp;TRUE;2;BALDWIN & LYONS INC | Protective Insurance Corp
0000009389;BALL Corp;TRUE;2;BALL CORP | BALL Corp
0000009466;BALTIMORE GAS & ELECTRIC CO;FALSE;1;BALTIMORE GAS & ELECTRIC CO
0000009631;BANK OF NOVA SCOTIA;TRUE;2;BANK OF NOVA SCOTIA | BANK OF NOVA SCOTIA /
0000009892;BARD C R INC /NJ/;FALSE;1;BARD C R INC /NJ/
0000009984;BARNES GROUP INC;FALSE;1;BARNES GROUP INC
0000010048;BARNWELL INDUSTRIES INC;FALSE;1;BARNWELL INDUSTRIES INC
0000010254;EARTHSTONE ENERGY INC;FALSE;1;EARTHSTONE ENERGY INC
0000010329;BASSETT FURNITURE INDUSTRIES INC;FALSE;1;BASSETT FURNITURE INDUSTRIES INC
0000010456;BAXTER INTERNATIONAL INC;FALSE;1;BAXTER INTERNATIONAL INC
0000010795;BECTON DICKINSON & CO;FALSE;1;BECTON DICKINSON & CO
0000011199;BEMIS CO INC;FALSE;1;BEMIS CO INC
