Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
WALT DISNEY CO/,0001001039,,,10-K,2015-11-25,edgar/data/1001039/0001001039-15-000255.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,GEOS,,10-K,2015-11-19,edgar/data/1001115/0001564590-15-010914.txt
ASTA FUNDING INC,0001001258,,,10-K,2015-12-14,edgar/data/1001258/0001193125-15-402698.txt
"LEARNING TREE INTERNATIONAL, INC.",0001002037,,,10-K,2015-12-15,edgar/data/1002037/0001437749-15-022309.txt
"Nuance Communications, Inc.",0001002517,,,10-K,2015-11-19,edgar/data/1002517/0001002517-15-000032.txt
STAR GAS PARTNERS LP,0001002590,SGU,,10-K,2015-12-09,edgar/data/1002590/0001193125-15-398913.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,MSM,,10-K,2015-10-28,edgar/data/1003078/0001003078-15-000093.txt
HEADWATERS INC,0001003344,,,10-K,2015-11-17,edgar/data/1003344/0001047469-15-008710.txt
BARNWELL INDUSTRIES INC,0000010048,BRN,,10-K,2015-12-16,edgar/data/10048/0000010048-15-000008.txt
TYSON FOODS INC,0000100493,TSN,,10-K,2015-11-23,edgar/data/100493/0000100493-15-000109.txt
CONCIERGE TECHNOLOGIES INC,0001005101,MGLD,,10-K,2015-10-09,edgar/data/1005101/0001354488-15-004590.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,SPH,,10-K,2015-11-25,edgar/data/1005210/0001564590-15-011120.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,,,10-K,2015-12-29,edgar/data/1005276/0001005276-15-000015.txt
UGI UTILITIES INC,0000100548,,,10-K,2015-11-25,edgar/data/100548/0000100548-15-000023.txt
IDT CORP,0001005731,IDT,,10-K,2015-10-14,edgar/data/1005731/0001213900-15-007660.txt
"PURE BIOSCIENCE, INC.",0001006028,PURE,,10-K,2015-10-28,edgar/data/1006028/0001558370-15-001985.txt
BROCADE COMMUNICATIONS SYSTEMS INC,0001009626,,,10-K,2015-12-22,edgar/data/1009626/0001009626-15-000164.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,FDS,,10-K,2015-11-02,edgar/data/1013237/0001437749-15-019227.txt
"SIRONA DENTAL SYSTEMS, INC.",0001014507,,,10-K,2015-11-20,edgar/data/1014507/0001571049-15-009485.txt
UNITED REFINING CO,0000101462,,,10-K,2015-11-23,edgar/data/101462/0001193125-15-385265.txt
ROFIN SINAR TECHNOLOGIES INC,0001019361,,,10-K,2015-11-30,edgar/data/1019361/0001019361-15-000073.txt
"JV GROUP, INC.",0001021917,AWCA,,10-K,2015-12-14,edgar/data/1021917/0001065949-15-000294.txt
"StemGen, Inc.",0001023198,,,10-K,2015-10-13,edgar/data/1023198/0001477932-15-006339.txt
SIMULATIONS PLUS INC,0001023459,SLP,,10-K,2015-11-20,edgar/data/1023459/0001019687-15-004260.txt
NATIONAL HOLDINGS CORP,0001023844,,,10-K,2015-12-28,edgar/data/1023844/0001628280-15-009929.txt
ROCKWELL AUTOMATION INC,0001024478,ROK,,10-K,2015-11-17,edgar/data/1024478/0001024478-15-000028.txt
VALSPAR CORP,0000102741,,,10-K,2015-12-18,edgar/data/102741/0000102741-15-000011.txt
KMG CHEMICALS INC,0001028215,,,10-K,2015-11-27,edgar/data/1028215/0001564590-15-011146.txt
