Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
SANDISK CORP,0001000180,,,10-K,2013-02-19,edgar/data/1000180/0001000180-13-000009.txt
MEDALLION FINANCIAL CORP,0001000209,MBNKO,,10-K,2013-03-13,edgar/data/1000209/0001193125-13-103504.txt
HENRY SCHEIN INC,0001000228,HSIC,,10-K,2013-02-13,edgar/data/1000228/0001000228-13-000010.txt
CORE LABORATORIES N V,0001000229,,,10-K,2013-02-19,edgar/data/1000229/0001000229-13-000009.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,,,10-K,2013-03-28,edgar/data/1000232/0001104659-13-025094.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,IMPM,,10-K,2013-03-12,edgar/data/1000298/0001047469-13-002555.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,MATV,,10-K,2013-03-01,edgar/data/1000623/0001000623-13-000042.txt
NOVAVAX INC,0001000694,NVAX,,10-K,2013-03-12,edgar/data/1000694/0001144204-13-014545.txt
WATERS CORP /DE/,0001000697,WAT,,10-K,2013-02-26,edgar/data/1000697/0001193125-13-076804.txt
"INSPERITY, INC.",0001000753,NSP,,10-K,2013-02-11,edgar/data/1000753/0001140361-13-005779.txt
DISH Network CORP,0001001082,,,10-K,2013-02-20,edgar/data/1001082/0001104659-13-011967.txt
TUCSON ELECTRIC POWER CO,0000100122,,,10-K,2013-02-27,edgar/data/100122/0001193125-13-077847.txt
SANGAMO BIOSCIENCES INC,0001001233,SGMO,,10-K,2013-02-26,edgar/data/1001233/0001193125-13-076887.txt
ASTA FUNDING INC,0001001258,,,10-K,2013-01-18,edgar/data/1001258/0001193125-13-017517.txt
LEXMARK INTERNATIONAL INC /KY/,0001001288,,,10-K,2013-02-26,edgar/data/1001288/0001193125-13-077056.txt
"TG THERAPEUTICS, INC.",0001001316,TGTX,,10-K,2013-03-21,edgar/data/1001316/0001144204-13-016691.txt
NORTHWEST PIPE CO,0001001385,NWPX,,10-K,2013-03-18,edgar/data/1001385/0001193125-13-112587.txt
"Acacia Diversified Holdings, Inc.",0001001463,,,10-K,2013-01-10,edgar/data/1001463/0001185185-13-000039.txt
"Acacia Diversified Holdings, Inc.",0001001463,,,10-K,2013-02-22,edgar/data/1001463/0001185185-13-000361.txt
"Acacia Diversified Holdings, Inc.",0001001463,,,10-K,2013-03-28,edgar/data/1001463/0001185185-13-000651.txt
MGT CAPITAL INVESTMENTS INC,0001001601,MGTI,,10-K,2013-03-29,edgar/data/1001601/0001144204-13-018728.txt
EMERITUS CORP\WA\,0001001604,,,10-K,2013-03-04,edgar/data/1001604/0001001604-13-000016.txt
BLOUNT INTERNATIONAL INC,0001001606,,,10-K,2013-03-08,edgar/data/1001606/0001193125-13-097962.txt
TENGASCO INC,0001001614,REPX,,10-K,2013-03-29,edgar/data/1001614/0001001614-13-000010.txt
SOUTHERN COPPER CORP/,0001001838,SCCO,,10-K,2013-02-28,edgar/data/1001838/0001104659-13-015720.txt
INTEVAC INC,0001001902,,,10-K,2013-02-22,edgar/data/1001902/0001193125-13-071505.txt
ADVENT SOFTWARE INC /DE/,0001002225,,,10-K,2013-02-28,edgar/data/1002225/0001047469-13-001946.txt
"ACCELRYS, INC.",0001002388,,,10-K,2013-03-07,edgar/data/1002388/0001002388-13-000006.txt
"America's Suppliers, Inc.",0001002390,,,10-K,2013-03-07,edgar/data/1002390/0001144204-13-013543.txt
AMEREN CORP,0001002910,AEE,,10-K,2013-03-01,edgar/data/1002910/0001445305-13-000414.txt
LCA VISION INC,0001003130,,,10-K,2013-03-13,edgar/data/1003130/0001193125-13-104867.txt
MUNICIPAL MORTGAGE & EQUITY LLC,0001003201,,,10-K,2013-03-26,edgar/data/1003201/0001144204-13-017605.txt
SILICON IMAGE INC,0001003214,,,10-K,2013-02-26,edgar/data/1003214/0001193125-13-074559.txt
DUKE REALTY LIMITED PARTNERSHIP/,0001003410,,,10-K,2013-02-22,edgar/data/1003410/0000783280-13-000004.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,,,10-K,2013-03-20,edgar/data/1003509/0001193125-13-117404.txt
IMPAX LABORATORIES INC,0001003642,,,10-K,2013-02-26,edgar/data/1003642/0001437749-13-001948.txt
BCTC IV ASSIGNOR CORP,0001003815,,,10-K,2013-03-18,edgar/data/1003815/0001003815-13-000002.txt
PERFORMANCE TECHNOLOGIES INC \DE\,0001003950,,,10-K,2013-03-07,edgar/data/1003950/0001003950-13-000012.txt
TAYLOR CALVIN B BANKSHARES INC,0001003986,,,10-K,2013-03-13,edgar/data/1003986/0001140361-13-012265.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,,,10-K,2013-02-27,edgar/data/1004036/0000899715-13-000070.txt
250 WEST 57TH ST ASSOCIATES L.L.C.,0000100412,,,10-K,2013-03-28,edgar/data/100412/0001193125-13-132246.txt
AGL RESOURCES INC,0001004155,,,10-K,2013-02-06,edgar/data/1004155/0001004155-13-000018.txt
GS MORTGAGE SECURITIES CORP II,0001004158,,,10-K,2013-03-29,edgar/data/1004158/0001019965-13-000035.txt
AFFILIATED MANAGERS GROUP INC,0001004434,MGRE,,10-K,2013-02-22,edgar/data/1004434/0001047469-13-001515.txt
Entertainment Gaming Asia Inc.,0001004673,,,10-K,2013-03-28,edgar/data/1004673/0001144204-13-018212.txt
OCEANFIRST FINANCIAL CORP,0001004702,OCFC,,10-K,2013-03-15,edgar/data/1004702/0001193125-13-109142.txt
PG&E Corp,0001004980,PCG-PX,,10-K,2013-02-21,edgar/data/1004980/0001004980-13-000013.txt
CHASE CREDIT CARD MASTER TRUST,0001004988,,,10-K,2013-03-29,edgar/data/1004988/0001193125-13-134027.txt
