Company Name,CIK,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,10-K,2017-12-20,edgar/data/1000230/0001437749-17-020936.txt
WALT DISNEY CO/,0001001039,10-K,2017-11-22,edgar/data/1001039/0001001039-17-000198.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,10-K,2017-12-01,edgar/data/1001115/0001564590-17-024421.txt
"LEARNING TREE INTERNATIONAL, INC.",0001002037,10-K,2017-12-15,edgar/data/1002037/0001437749-17-020789.txt
"Nuance Communications, Inc.",0001002517,10-K,2017-11-29,edgar/data/1002517/0001002517-17-000040.txt
STAR GROUP LP,0001002590,10-K,2017-12-06,edgar/data/1002590/0001193125-17-362837.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,10-K,2017-10-31,edgar/data/1003078/0001003078-17-000307.txt
BARNWELL INDUSTRIES INC,0000010048,10-K,2017-12-21,edgar/data/10048/0000010048-17-000011.txt
TYSON FOODS INC,0000100493,10-K,2017-11-13,edgar/data/100493/0000100493-17-000133.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2017-10-13,edgar/data/1005101/0001437749-17-017136.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,10-K,2017-11-22,edgar/data/1005210/0001564590-17-024209.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,10-K,2017-12-22,edgar/data/1005276/0001005276-17-000017.txt
UGI UTILITIES INC,0000100548,10-K,2017-11-21,edgar/data/100548/0000100548-17-000023.txt
IDT CORP,0001005731,10-K,2017-10-16,edgar/data/1005731/0001213900-17-010610.txt
"PURE BIOSCIENCE, INC.",0001006028,10-K,2017-10-26,edgar/data/1006028/0001493152-17-012096.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,10-K,2017-10-30,edgar/data/1013237/0001437749-17-017840.txt
"Digerati Technologies, Inc.",0001014052,10-K,2017-12-14,edgar/data/1014052/0001213900-17-013263.txt
CARVER BANCORP INC,0001016178,10-K,2017-11-09,edgar/data/1016178/0001016178-17-000012.txt
SIMULATIONS PLUS INC,0001023459,10-K,2017-11-14,edgar/data/1023459/0001683168-17-003042.txt
NATIONAL HOLDINGS CORP,0001023844,10-K,2017-12-22,edgar/data/1023844/0001023844-17-000014.txt
ROCKWELL AUTOMATION INC,0001024478,10-K,2017-11-15,edgar/data/1024478/0001024478-17-000034.txt
"NOVATION COMPANIES, INC.",0001025953,10-K,2017-10-26,edgar/data/1025953/0001025953-17-000007.txt
KMG CHEMICALS INC,0001028215,10-K,2017-10-16,edgar/data/1028215/0001564590-17-019525.txt
MAXIMUS INC,0001032220,10-K,2017-11-20,edgar/data/1032220/0001032220-17-000130.txt
"Sevion Therapeutics, Inc.",0001035354,10-K,2017-10-13,edgar/data/1035354/0001144204-17-052475.txt
