Company Name,CIK,Form Type,Date Filed,Filename
SANDISK CORP,0001000180,10-K,2014-02-21,edgar/data/1000180/0001000180-14-000019.txt
MEDALLION FINANCIAL CORP,0001000209,10-K,2014-03-05,edgar/data/1000209/0001193125-14-084781.txt
HENRY SCHEIN INC,0001000228,10-K,2014-02-11,edgar/data/1000228/0001000228-14-000010.txt
CORE LABORATORIES N V,0001000229,10-K,2014-02-13,edgar/data/1000229/0001000229-14-000025.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2014-03-28,edgar/data/1000232/0001104659-14-023992.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2014-03-20,edgar/data/1000298/0001047469-14-002725.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2014-02-28,edgar/data/1000623/0001000623-14-000035.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2014-03-31,edgar/data/1000683/0001144204-14-019460.txt
NOVAVAX INC,0001000694,10-K,2014-03-12,edgar/data/1000694/0001144204-14-014965.txt
WATERS CORP /DE/,0001000697,10-K,2014-02-27,edgar/data/1000697/0001193125-14-072515.txt
"INSPERITY, INC.",0001000753,10-K,2014-02-10,edgar/data/1000753/0001000753-14-000008.txt
DISH Network CORP,0001001082,10-K,2014-02-21,edgar/data/1001082/0001104659-14-012023.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2014-03-31,edgar/data/1001171/0001047469-14-003251.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2014-02-25,edgar/data/100122/0000941138-14-000045.txt
SANGAMO BIOSCIENCES INC,0001001233,10-K,2014-02-24,edgar/data/1001233/0001193125-14-065170.txt
LEXMARK INTERNATIONAL INC /KY/,0001001288,10-K,2014-03-03,edgar/data/1001288/0001001288-14-000011.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2014-03-07,edgar/data/1001316/0001144204-14-014207.txt
NORTHWEST PIPE CO,0001001385,10-K,2014-03-17,edgar/data/1001385/0001193125-14-102569.txt
MGT CAPITAL INVESTMENTS INC,0001001601,10-K,2014-03-28,edgar/data/1001601/0001144204-14-018803.txt
EMERITUS CORP\WA\,0001001604,10-K,2014-02-20,edgar/data/1001604/0001001604-14-000017.txt
TENGASCO INC,0001001614,10-K,2014-03-31,edgar/data/1001614/0001140361-14-014703.txt
