Company Name,CIK,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,10-K,2021-03-16,edgar/data/1000209/0001564590-21-013216.txt
HENRY SCHEIN INC,0001000228,10-K,2021-02-17,edgar/data/1000228/0001000228-21-000019.txt
CORE LABORATORIES N V,0001000229,10-K,2021-02-08,edgar/data/1000229/0001564590-21-004561.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2021-03-03,edgar/data/1000232/0001558370-21-002326.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2021-03-12,edgar/data/1000298/0001558370-21-002945.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2021-03-01,edgar/data/1000623/0001000623-21-000047.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2021-03-25,edgar/data/1000683/0001213900-21-017745.txt
NOVAVAX INC,0001000694,10-K,2021-03-01,edgar/data/1000694/0001000694-21-000004.txt
WATERS CORP /DE/,0001000697,10-K,2021-02-24,edgar/data/1000697/0001193125-21-054385.txt
"INSPERITY, INC.",0001000753,10-K,2021-02-12,edgar/data/1000753/0001000753-21-000009.txt
DISH Network CORP,0001001082,10-K,2021-02-22,edgar/data/1001082/0001558370-21-001322.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2021-03-31,edgar/data/1001171/0001140361-21-011100.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2021-02-12,edgar/data/100122/0000100122-21-000005.txt
"SANGAMO THERAPEUTICS, INC",0001001233,10-K,2021-02-24,edgar/data/1001233/0001628280-21-003069.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2021-03-01,edgar/data/1001316/0001558370-21-002149.txt
NORTHWEST PIPE CO,0001001385,10-K,2021-03-04,edgar/data/1001385/0001437749-21-004994.txt
"Riley Exploration Permian, Inc.",0001001614,10-K,2021-03-30,edgar/data/1001614/0001140361-21-010616.txt
SOUTHERN COPPER CORP/,0001001838,10-K,2021-02-26,edgar/data/1001838/0001558370-21-001894.txt
INTEVAC INC,0001001902,10-K,2021-02-17,edgar/data/1001902/0001193125-21-046477.txt
AMEREN CORP,0001002910,10-K,2021-02-22,edgar/data/1002910/0001002910-21-000065.txt
"MMA Capital Holdings, Inc.",0001003201,10-K,2021-03-31,edgar/data/1003201/0001558370-21-003847.txt
DUKE REALTY Ltd PARTNERSHIP/,0001003410,10-K,2021-02-19,edgar/data/1003410/0000783280-21-000012.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,10-K,2021-03-25,edgar/data/1003509/0001193125-21-094610.txt
BCTC IV ASSIGNOR CORP,0001003815,10-K,2021-03-25,edgar/data/1003815/0001104659-21-041525.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,10-K,2021-02-23,edgar/data/1004036/0000899715-21-000065.txt
SOUTHERN Co GAS,0001004155,10-K,2021-02-18,edgar/data/1004155/0000092122-21-000006.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,10-K,2021-02-19,edgar/data/1004434/0001004434-21-000014.txt
OCEANFIRST FINANCIAL CORP,0001004702,10-K,2021-03-01,edgar/data/1004702/0001004702-21-000026.txt
"REGIONAL HEALTH PROPERTIES, INC",0001004724,10-K,2021-03-29,edgar/data/1004724/0001564590-21-016146.txt
PG&E Corp,0001004980,10-K,2021-02-25,edgar/data/1004980/0001004980-21-000007.txt
"SPAR Group, Inc.",0001004989,10-K,2021-03-31,edgar/data/1004989/0001437749-21-007784.txt
"GRAPHIC PACKAGING INTERNATIONAL, LLC",0001005011,10-K,2021-02-16,edgar/data/1005011/0001005011-21-000004.txt
"United Airlines Holdings, Inc.",0000100517,10-K,2021-03-01,edgar/data/100517/0000100517-21-000016.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,10-K,2021-02-18,edgar/data/1005284/0001564590-21-006654.txt
CSG SYSTEMS INTERNATIONAL INC,0001005757,10-K,2021-02-19,edgar/data/1005757/0001564590-21-006874.txt
TOMPKINS FINANCIAL CORP,0001005817,10-K,2021-03-01,edgar/data/1005817/0001005817-21-000004.txt
IRIDEX CORP,0001006045,10-K,2021-03-23,edgar/data/1006045/0001564590-21-014859.txt
LORAL SPACE & COMMUNICATIONS INC.,0001006269,10-K,2021-03-09,edgar/data/1006269/0001558370-21-002586.txt
"Protalix BioTherapeutics, Inc.",0001006281,10-K,2021-03-30,edgar/data/1006281/0001558370-21-003681.txt
