Company Name,CIK,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,10-K,2018-03-14,edgar/data/1000209/0001193125-18-082402.txt
HENRY SCHEIN INC,0001000228,10-K,2018-02-21,edgar/data/1000228/0001000228-18-000012.txt
CORE LABORATORIES N V,0001000229,10-K,2018-02-12,edgar/data/1000229/0001000229-18-000025.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2018-03-16,edgar/data/1000232/0001558370-18-002201.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2018-03-16,edgar/data/1000298/0001558370-18-002168.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2018-03-01,edgar/data/1000623/0001000623-18-000044.txt
NOVAVAX INC,0001000694,10-K,2018-03-14,edgar/data/1000694/0001144204-18-014686.txt
WATERS CORP /DE/,0001000697,10-K,2018-02-27,edgar/data/1000697/0001193125-18-060830.txt
"INSPERITY, INC.",0001000753,10-K,2018-02-12,edgar/data/1000753/0001000753-18-000015.txt
DISH Network CORP,0001001082,10-K,2018-02-21,edgar/data/1001082/0001558370-18-000826.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2018-03-26,edgar/data/1001171/0001047469-18-002146.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2018-02-15,edgar/data/100122/0000100122-18-000005.txt
"SANGAMO THERAPEUTICS, INC",0001001233,10-K,2018-03-01,edgar/data/1001233/0001564590-18-004163.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2018-03-15,edgar/data/1001316/0001654954-18-002638.txt
NORTHWEST PIPE CO,0001001385,10-K,2018-03-16,edgar/data/1001385/0001437749-18-004857.txt
TENGASCO INC,0001001614,10-K,2018-03-28,edgar/data/1001614/0001140361-18-015512.txt
SOUTHERN COPPER CORP/,0001001838,10-K,2018-03-01,edgar/data/1001838/0001047469-18-001211.txt
INTEVAC INC,0001001902,10-K,2018-02-14,edgar/data/1001902/0001193125-18-045618.txt
AMEREN CORP,0001002910,10-K,2018-02-28,edgar/data/1002910/0001002910-18-000069.txt
"MMA CAPITAL MANAGEMENT, LLC",0001003201,10-K,2018-03-16,edgar/data/1003201/0001144204-18-015067.txt
DUKE REALTY LIMITED PARTNERSHIP/,0001003410,10-K,2018-02-16,edgar/data/1003410/0000783280-18-000012.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,10-K,2018-03-26,edgar/data/1003509/0001193125-18-096155.txt
IMPAX LABORATORIES INC,0001003642,10-K,2018-03-01,edgar/data/1003642/0001003642-18-000038.txt
BCTC IV ASSIGNOR CORP,0001003815,10-K,2018-03-16,edgar/data/1003815/0001003815-18-000004.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,10-K,2018-02-22,edgar/data/1004036/0000899715-18-000070.txt
SOUTHERN Co GAS,0001004155,10-K,2018-02-21,edgar/data/1004155/0000092122-18-000012.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,10-K,2018-02-23,edgar/data/1004434/0001004434-18-000004.txt
OCEANFIRST FINANCIAL CORP,0001004702,10-K,2018-02-28,edgar/data/1004702/0001004702-18-000078.txt
PG&E Corp,0001004980,10-K,2018-02-09,edgar/data/1004980/0001004980-18-000003.txt
"United Continental Holdings, Inc.",0000100517,10-K,2018-02-22,edgar/data/100517/0001193125-18-054235.txt
DEPOMED INC,0001005201,10-K,2018-03-01,edgar/data/1005201/0001558370-18-001325.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,10-K,2018-02-22,edgar/data/1005284/0001564590-18-002868.txt
DIME COMMUNITY BANCSHARES INC,0001005409,10-K,2018-03-14,edgar/data/1005409/0001140361-18-013430.txt
MAGICJACK VOCALTEC LTD,0001005699,10-K,2018-03-16,edgar/data/1005699/0001178913-18-000881.txt
CSG SYSTEMS INTERNATIONAL INC,0001005757,10-K,2018-02-23,edgar/data/1005757/0001564590-18-003012.txt
TOMPKINS FINANCIAL CORP,0001005817,10-K,2018-03-01,edgar/data/1005817/0001005817-18-000002.txt
IRIDEX CORP,0001006045,10-K,2018-03-14,edgar/data/1006045/0001564590-18-005593.txt
LORAL SPACE & COMMUNICATIONS INC.,0001006269,10-K,2018-03-15,edgar/data/1006269/0001144204-18-014926.txt
"Protalix BioTherapeutics, Inc.",0001006281,10-K,2018-03-06,edgar/data/1006281/0001144204-18-013053.txt
"BEAR STATE FINANCIAL, INC.",0001006424,10-K,2018-03-16,edgar/data/1006424/0001437749-18-004799.txt
"HC2 HOLDINGS, INC.",0001006837,10-K,2018-03-14,edgar/data/1006837/0001006837-18-000023.txt
COFFEE HOLDING CO INC,0001007019,10-K,2018-01-29,edgar/data/1007019/0001493152-18-001192.txt
BANK OF SOUTH CAROLINA CORP,0001007273,10-K,2018-03-05,edgar/data/1007273/0001387131-18-000907.txt
"PRGX GLOBAL, INC.",0001007330,10-K,2018-03-13,edgar/data/1007330/0001007330-18-000002.txt
KVH INDUSTRIES INC \DE\,0001007587,10-K,2018-03-02,edgar/data/1007587/0001007587-18-000006.txt
UNION CARBIDE CORP /NEW/,0000100790,10-K,2018-02-15,edgar/data/100790/0000029915-18-000005.txt
UNION ELECTRIC CO,0000100826,10-K,2018-02-28,edgar/data/100826/0001002910-18-000069.txt
TUPPERWARE BRANDS CORP,0001008654,10-K,2018-02-27,edgar/data/1008654/0001008654-18-000006.txt
ACORDA THERAPEUTICS INC,0001008848,10-K,2018-03-01,edgar/data/1008848/0001564590-18-003967.txt
UNION PACIFIC CORP,0000100885,10-K,2018-02-09,edgar/data/100885/0000100885-18-000048.txt
CARBO CERAMICS INC,0001009672,10-K,2018-03-08,edgar/data/1009672/0001564590-18-004771.txt
JAKKS PACIFIC INC,0001009829,10-K,2018-03-16,edgar/data/1009829/0001157523-18-000578.txt
SIGA TECHNOLOGIES INC,0001010086,10-K,2018-03-06,edgar/data/1010086/0001010086-18-000003.txt
SYKES ENTERPRISES INC,0001010612,10-K,2018-03-01,edgar/data/1010612/0001193125-18-067150.txt
FAIRMOUNT SANTROL HOLDINGS INC.,0001010858,10-K,2018-03-13,edgar/data/1010858/0001564590-18-005434.txt
"CYNERGISTEK, INC",0001011432,10-K,2018-03-28,edgar/data/1011432/0001445866-18-000299.txt
"Medical Information Technology, Inc.",0001011452,10-K,2018-01-31,edgar/data/1011452/0001011452-18-000003.txt
Golden Minerals Co,0001011509,10-K,2018-03-02,edgar/data/1011509/0001558370-18-001416.txt
KNOLL INC,0001011570,10-K,2018-02-27,edgar/data/1011570/0001011570-18-000012.txt
MUFG Americas Holdings Corp,0001011659,10-K,2018-03-02,edgar/data/1011659/0001628280-18-002667.txt
UNITED FIRE GROUP INC,0000101199,10-K,2018-02-28,edgar/data/101199/0000101199-18-000040.txt
RUSH ENTERPRISES INC \TX\,0001012019,10-K,2018-03-01,edgar/data/1012019/0001437749-18-003630.txt
SEALED AIR CORP/DE,0001012100,10-K,2018-02-21,edgar/data/1012100/0001628280-18-001957.txt
AVADEL PHARMACEUTICALS PLC,0001012477,10-K,2018-03-16,edgar/data/1012477/0001012477-18-000008.txt
GENESEE & WYOMING INC,0001012620,10-K,2018-02-28,edgar/data/1012620/0001012620-18-000008.txt
FBL FINANCIAL GROUP INC,0001012771,10-K,2018-03-01,edgar/data/1012771/0001012771-18-000006.txt
UNITED GUARDIAN INC,0000101295,10-K,2018-03-22,edgar/data/101295/0001171843-18-002183.txt
ARADIGM CORP,0001013238,10-K,2018-03-23,edgar/data/1013238/0001193125-18-094094.txt
NORWOOD FINANCIAL CORP,0001013272,10-K,2018-03-15,edgar/data/1013272/0000946275-18-000013.txt
ANSYS INC,0001013462,10-K,2018-02-22,edgar/data/1013462/0001013462-18-000004.txt
BJs RESTAURANTS INC,0001013488,10-K,2018-02-26,edgar/data/1013488/0001564590-18-003270.txt
ENDOLOGIX INC /DE/,0001013606,10-K,2018-03-13,edgar/data/1013606/0001013606-18-000025.txt
"Wilhelmina International, Inc.",0001013706,10-K,2018-03-22,edgar/data/1013706/0001171843-18-002182.txt
UMB FINANCIAL CORP,0000101382,10-K,2018-02-22,edgar/data/101382/0001564590-18-002843.txt
PEGASYSTEMS INC,0001013857,10-K,2018-02-26,edgar/data/1013857/0001193125-18-058491.txt
"NRG ENERGY, INC.",0001013871,10-K,2018-03-01,edgar/data/1013871/0001013871-18-000011.txt
"TTEC Holdings, Inc.",0001013880,10-K,2018-03-13,edgar/data/1013880/0001558370-18-001935.txt
STRAYER EDUCATION INC,0001013934,10-K,2018-03-01,edgar/data/1013934/0001558370-18-001389.txt
VERISIGN INC/CA,0001014473,10-K,2018-02-16,edgar/data/1014473/0001014473-18-000018.txt
"BioScrip, Inc.",0001014739,10-K,2018-03-26,edgar/data/1014739/0001628280-18-003541.txt
