Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,EL,,10-K,2023-08-18,edgar/data/1001250/0001001250-23-000112.txt
ASTROTECH Corp,0001001907,ASTC,,10-K,2023-09-28,edgar/data/1001907/0001437749-23-027063.txt
OPEN TEXT CORP,0001002638,OTEX,,10-K,2023-08-03,edgar/data/1002638/0001002638-23-000022.txt
TWIN DISC INC,0000100378,TWIN,,10-K,2023-09-08,edgar/data/100378/0001437749-23-025446.txt
"Marygold Companies, Inc.",0001005101,MGLD,,10-K,2023-09-25,edgar/data/1005101/0001437749-23-026697.txt
EVOLUTION PETROLEUM CORP,0001006655,EPM,,10-K,2023-09-13,edgar/data/1006655/0001558370-23-015706.txt
CONSUMERS BANCORP INC /OH/,0001006830,CBKM,,10-K,2023-09-07,edgar/data/1006830/0001437749-23-025368.txt
UNIFI INC,0000100726,UFI,,10-K,2023-08-25,edgar/data/100726/0000950170-23-044490.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,PROV,,10-K,2023-09-05,edgar/data/1010470/0000939057-23-000267.txt
Nordicus Partners Corp,0001011060,NORD,,10-K,2023-07-14,edgar/data/1011060/0001493152-23-024627.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2023-09-29,edgar/data/1012493/0001558370-23-016157.txt
UNITED STATES ANTIMONY CORP,0000101538,UAMY,,10-K,2023-07-18,edgar/data/101538/0001654954-23-009305.txt
INTEGRATED BIOPHARMA INC,0001016504,INBP,,10-K,2023-09-15,edgar/data/1016504/0001437749-23-026022.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2023-09-26,edgar/data/1020859/0001020859-23-000048.txt
UNIVERSAL SECURITY INSTRUMENTS INC,0000102109,UUU,,10-K,2023-07-14,edgar/data/102109/0001410578-23-001476.txt
COTY INC.,0001024305,COTY,,10-K,2023-08-22,edgar/data/1024305/0001024305-23-000060.txt
OSI SYSTEMS INC,0001039065,OSIS,,10-K,2023-08-29,edgar/data/1039065/0001104659-23-096477.txt
NETSOL TECHNOLOGIES INC,0001039280,NTWK,,10-K,2023-09-22,edgar/data/1039280/0001493152-23-033429.txt
AEHR TEST SYSTEMS,0001040470,AEHR,,10-K,2023-08-28,edgar/data/1040470/0001654954-23-011271.txt
LESAKA TECHNOLOGIES INC,0001041514,LSAK,,10-K,2023-09-12,edgar/data/1041514/0001562762-23-000348.txt
FEDEX CORP,0001048911,FDX,,10-K,2023-07-17,edgar/data/1048911/0000950170-23-033201.txt
MERCURY SYSTEMS INC,0001049521,MRCY,,10-K,2023-08-15,edgar/data/1049521/0001049521-23-000031.txt
WESTERN DIGITAL CORP,0000106040,WDC,,10-K,2023-08-22,edgar/data/106040/0000106040-23-000024.txt
EGAIN Corp,0001066194,EGAN,,10-K,2023-09-14,edgar/data/1066194/0001558370-23-015758.txt
"CRACKER BARREL OLD COUNTRY STORE, INC",0001067294,CBRL,,10-K,2023-09-26,edgar/data/1067294/0001140361-23-045201.txt
PHIBRO ANIMAL HEALTH CORP,0001069899,PAHC,,10-K,2023-08-30,edgar/data/1069899/0001558370-23-015357.txt
GREENE COUNTY BANCORP INC,0001070524,GCBC,,10-K,2023-09-08,edgar/data/1070524/0001140361-23-043315.txt
"SolarWindow Technologies, Inc.",0001071840,WNDW,,10-K,2023-08-30,edgar/data/1071840/0001171843-23-005488.txt
EXTREME NETWORKS INC,0001078271,EXTR,,10-K,2023-08-24,edgar/data/1078271/0000950170-23-044385.txt
"CANNAPHARMARX, INC.",0001081938,CPMD,,10-K,2023-09-01,edgar/data/1081938/0001683168-23-006237.txt
"Flux Power Holdings, Inc.",0001083743,FLUX,,10-K,2023-09-21,edgar/data/1083743/0001493152-23-033338.txt
"AuraSource, Inc.",0001083922,,,10-K,2023-07-26,edgar/data/1083922/0001308411-23-000012.txt
"RESOURCES CONNECTION, INC.",0001084765,RGP,,10-K,2023-07-25,edgar/data/1084765/0001084765-23-000016.txt
1 800 FLOWERS COM INC,0001084869,FLWS,,10-K,2023-09-15,edgar/data/1084869/0001437749-23-025967.txt
WORTHINGTON INDUSTRIES INC,0000108516,WOR,,10-K,2023-07-31,edgar/data/108516/0000950170-23-035904.txt
"GREYSTONE LOGISTICS, INC.",0001088413,GLGI,,10-K,2023-08-28,edgar/data/1088413/0001493152-23-030394.txt
APPLIED INDUSTRIAL TECHNOLOGIES INC,0000109563,AIT,,10-K,2023-08-11,edgar/data/109563/0000109563-23-000075.txt
RPM INTERNATIONAL INC/DE/,0000110621,RPM,,10-K,2023-07-26,edgar/data/110621/0000950170-23-034640.txt
LANTRONIX INC,0001114925,LTRX,,10-K,2023-09-12,edgar/data/1114925/0001683168-23-006386.txt
"TAPESTRY, INC.",0001116132,TPR,,10-K,2023-08-17,edgar/data/1116132/0001116132-23-000020.txt
MASS MEGAWATTS WIND POWER INC,0001117228,MMMW,,10-K,2023-07-25,edgar/data/1117228/0001493152-23-025495.txt
"QUINSTREET, INC",0001117297,QNST,,10-K,2023-08-21,edgar/data/1117297/0000950170-23-043659.txt
Seagate Technology Holdings plc,0001137789,STX,,10-K,2023-08-04,edgar/data/1137789/0001137789-23-000049.txt
ACCURAY INC,0001138723,ARAY,,10-K,2023-09-07,edgar/data/1138723/0000950170-23-047052.txt
Applied Digital Corp.,0001144879,APLD,,10-K,2023-08-02,edgar/data/1144879/0001144879-23-000176.txt
"PharmaCyte Biotech, Inc.",0001157075,PMCB,,10-K,2023-07-31,edgar/data/1157075/0001683168-23-005175.txt
"Stride, Inc.",0001157408,LRN,,10-K,2023-08-16,edgar/data/1157408/0001558370-23-015003.txt
Pluri Inc.,0001158780,PLUR,,10-K,2023-09-12,edgar/data/1158780/0001213900-23-076079.txt
GB SCIENCES INC,0001165320,,,10-K,2023-07-14,edgar/data/1165320/0001437749-23-019964.txt
"RADIANT LOGISTICS, INC",0001171155,RLGT,,10-K,2023-09-13,edgar/data/1171155/0000950170-23-047958.txt
"P2 Solar, Inc.",0001172069,PTOS,,10-K,2023-08-08,edgar/data/1172069/0001640334-23-001477.txt
CytoDyn Inc.,0001175680,CYDY,,10-K,2023-09-14,edgar/data/1175680/0001558370-23-015718.txt
"MEI Pharma, Inc.",0001262104,LITS,,10-K,2023-09-26,edgar/data/1262104/0000950170-23-049927.txt
CIMPRESS plc,0001262976,CMPR,,10-K,2023-08-04,edgar/data/1262976/0001262976-23-000051.txt
H&R BLOCK INC,0000012659,HRB,,10-K,2023-08-17,edgar/data/12659/0001838862-23-000027.txt
ANGIODYNAMICS INC,0001275187,ANGO,,10-K,2023-08-03,edgar/data/1275187/0001628280-23-027335.txt
"Unique Logistics International, Inc.",0001281845,,,10-K,2023-09-15,edgar/data/1281845/0001493152-23-032701.txt
PROSPECT CAPITAL CORP,0001287032,PSEC-PA,,10-K,2023-09-08,edgar/data/1287032/0001287032-23-000283.txt
Kentucky First Federal Bancorp,0001297341,KFFB,,10-K,2023-09-28,edgar/data/1297341/0001213900-23-080514.txt
"Axos Financial, Inc.",0001299709,AX,,10-K,2023-08-29,edgar/data/1299709/0001299709-23-000198.txt
"SHINECO, INC.",0001300734,SISI,,10-K,2023-09-28,edgar/data/1300734/0001493152-23-034631.txt
"IGC Pharma, Inc.",0001326205,IGC,,10-K,2023-07-07,edgar/data/1326205/0001185185-23-000693.txt
Palo Alto Networks Inc,0001327567,PANW,,10-K,2023-09-01,edgar/data/1327567/0001327567-23-000024.txt
URANIUM ENERGY CORP,0001334933,UEC,,10-K,2023-09-29,edgar/data/1334933/0001437749-23-027072.txt
ALEXANDER TECH CORP,0001347491,,,10-K,2023-09-25,edgar/data/1347491/0001539497-23-001643.txt
