Company Name,CIK,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,10-K,2017-06-14,edgar/data/1000045/0001193125-17-203193.txt
MGT CAPITAL INVESTMENTS INC,0001001601,10-K,2017-04-20,edgar/data/1001601/0001493152-17-004179.txt
"NetApp, Inc.",0001002047,10-K,2017-06-20,edgar/data/1002047/0001564590-17-012758.txt
WESTELL TECHNOLOGIES INC,0001002135,10-K,2017-05-26,edgar/data/1002135/0001002135-17-000037.txt
Entertainment Gaming Asia Inc.,0001004673,10-K,2017-04-11,edgar/data/1004673/0001144204-17-019959.txt
"ADCARE HEALTH SYSTEMS, INC",0001004724,10-K,2017-04-17,edgar/data/1004724/0001004724-17-000021.txt
SPAR GROUP INC,0001004989,10-K,2017-04-17,edgar/data/1004989/0001437749-17-006637.txt
COLUMBUS MCKINNON CORP,0001005229,10-K,2017-05-31,edgar/data/1005229/0001005229-17-000198.txt
TOYS R US INC,0001005414,10-K,2017-04-12,edgar/data/1005414/0001005414-17-000011.txt
ARGAN INC,0000100591,10-K,2017-04-11,edgar/data/100591/0001104659-17-022713.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,10-K,2017-04-10,edgar/data/1008586/0001628280-17-003513.txt
CAPSTONE TURBINE Corp,0001009759,10-K,2017-06-13,edgar/data/1009759/0001558370-17-004785.txt
AIR INDUSTRIES GROUP,0001009891,10-K,2017-04-19,edgar/data/1009891/0001193805-17-000662.txt
CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD,0001010566,10-K,2017-04-17,edgar/data/1010566/0001062993-17-001907.txt
AdvanSource Biomaterials Corp,0001011060,10-K,2017-06-26,edgar/data/1011060/0001011060-17-000008.txt
99 CENTS ONLY STORES LLC,0001011290,10-K,2017-04-26,edgar/data/1011290/0001104659-17-026424.txt
Geospatial Corp,0001011395,10-K,2017-04-14,edgar/data/1011395/0001387131-17-002078.txt
AMARILLO BIOSCIENCES INC,0001014763,10-K,2017-04-17,edgar/data/1014763/0001014763-17-000003.txt
US ENERGY CORP,0000101594,10-K,2017-04-17,edgar/data/101594/0001615774-17-001735.txt
ALTAIR NANOTECHNOLOGIES INC,0001016546,10-K,2017-05-18,edgar/data/1016546/0001437749-17-009565.txt
SPRINT Corp,0000101830,10-K,2017-05-26,edgar/data/101830/0000101830-17-000015.txt
SEACHANGE INTERNATIONAL INC,0001019671,10-K,2017-04-17,edgar/data/1019671/0001193125-17-126138.txt
UNIVERSAL CORP /VA/,0000102037,10-K,2017-05-26,edgar/data/102037/0000102037-17-000030.txt
TRIUMPH GROUP INC,0001021162,10-K,2017-05-24,edgar/data/1021162/0001021162-17-000023.txt
hopTo Inc.,0001021435,10-K,2017-04-07,edgar/data/1021435/0001493152-17-003667.txt
EPLUS INC,0001022408,10-K,2017-05-25,edgar/data/1022408/0001022408-17-000009.txt
"Protagenic Therapeutics, Inc.\new",0001022899,10-K,2017-04-18,edgar/data/1022899/0001437749-17-006686.txt
8X8 INC /DE/,0001023731,10-K,2017-05-30,edgar/data/1023731/0001136261-17-000117.txt
"CANNABIS SCIENCE, INC.",0001024626,10-K,2017-04-17,edgar/data/1024626/0001562884-17-000022.txt
ZAP,0001024628,10-K,2017-06-08,edgar/data/1024628/0001214659-17-003920.txt
