Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
GEOSPACE TECHNOLOGIES CORP,0001001115,GEOS,,10-K,2019-11-22,edgar/data/1001115/0001564590-19-044161.txt
ASTA FUNDING INC,0001001258,,,10-K,2019-12-20,edgar/data/1001258/0001437749-19-024736.txt
"Nuance Communications, Inc.",0001002517,,,10-K,2019-11-26,edgar/data/1002517/0001002517-19-000039.txt
"STAR GROUP, L.P.",0001002590,SGU,,10-K,2019-12-05,edgar/data/1002590/0001564590-19-045389.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,MSM,,10-K,2019-10-24,edgar/data/1003078/0001003078-19-000232.txt
BARNWELL INDUSTRIES INC,0000010048,BRN,,10-K,2019-12-23,edgar/data/10048/0000010048-19-000022.txt
"TYSON FOODS, INC.",0000100493,TSN,,10-K,2019-11-12,edgar/data/100493/0000100493-19-000118.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,SPH,,10-K,2019-11-27,edgar/data/1005210/0001564590-19-044639.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,,,10-K,2019-12-20,edgar/data/1005276/0001005276-19-000018.txt
IDT CORP,0001005731,IDT,,10-K,2019-10-11,edgar/data/1005731/0001213900-19-020184.txt
"PURE BIOSCIENCE, INC.",0001006028,PURE,,10-K,2019-10-30,edgar/data/1006028/0001493152-19-016126.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2019-10-15,edgar/data/1012493/0001558370-19-008908.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,FDS,,10-K,2019-10-30,edgar/data/1013237/0001437749-19-020894.txt
"Digerati Technologies, Inc.",0001014052,DTGI,,10-K,2019-10-28,edgar/data/1014052/0001213900-19-021294.txt
UNITED NATURAL FOODS INC,0001020859,UNFI,,10-K,2019-10-01,edgar/data/1020859/0001020859-19-000116.txt
"StemGen, Inc.",0001023198,,,10-K,2019-11-19,edgar/data/1023198/0001161697-19-000493.txt
SIMULATIONS PLUS INC,0001023459,SLP,,10-K,2019-11-13,edgar/data/1023459/0001683168-19-003572.txt
NATIONAL HOLDINGS CORP,0001023844,,,10-K,2019-12-30,edgar/data/1023844/0001023844-19-000008.txt
"ROCKWELL AUTOMATION, INC",0001024478,ROK,,10-K,2019-11-12,edgar/data/1024478/0001024478-19-000044.txt
SONIC FOUNDRY INC,0001029744,,,10-K,2019-12-19,edgar/data/1029744/0001029744-19-000124.txt
"MAXIMUS, INC.",0001032220,MMS,,10-K,2019-11-26,edgar/data/1032220/0001032220-19-000105.txt
VILLAGE SUPER MARKET INC,0000103595,VLGEA,,10-K,2019-10-10,edgar/data/103595/0000103595-19-000015.txt
XSUNX INC,0001039466,,,10-K,2019-12-20,edgar/data/1039466/0001185185-19-001754.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,LSAK,,10-K,2019-10-25,edgar/data/1041514/0001062993-19-004031.txt
PRICESMART INC,0001041803,PSMT,,10-K,2019-10-29,edgar/data/1041803/0001041803-19-000042.txt
TIMBERLAND BANCORP INC,0001046050,TSBK,,10-K,2019-12-09,edgar/data/1046050/0000939057-19-000440.txt
"IES Holdings, Inc.",0001048268,IESC,,10-K,2019-12-06,edgar/data/1048268/0001048268-19-000007.txt
"F5 NETWORKS, INC.",0001048695,FFIV,,10-K,2019-11-15,edgar/data/1048695/0001048695-19-000034.txt
KID CASTLE EDUCATIONAL CORP,0001049011,,,10-K,2019-11-05,edgar/data/1049011/0001760319-19-000027.txt
WD 40 CO,0000105132,WDFC,,10-K,2019-10-22,edgar/data/105132/0000105132-19-000050.txt
