Company Name,CIK,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,10-K,2013-06-14,edgar/data/1000045/0001193125-13-259413.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2013-04-01,edgar/data/1000683/0001144204-13-018986.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2013-04-01,edgar/data/1001171/0001193125-13-136900.txt
INVESTORS CAPITAL HOLDINGS LTD,0001001871,10-K,2013-06-20,edgar/data/1001871/0001562762-13-000179.txt
"NetApp, Inc.",0001002047,10-K,2013-06-17,edgar/data/1002047/0001193125-13-261334.txt
WESTELL TECHNOLOGIES INC,0001002135,10-K,2013-05-24,edgar/data/1002135/0001002135-13-000018.txt
GILLA INC.,0001004411,10-K,2013-04-01,edgar/data/1004411/0001354488-13-001651.txt
SPAR GROUP INC,0001004989,10-K,2013-04-02,edgar/data/1004989/0001437749-13-003821.txt
COLUMBUS MCKINNON CORP,0001005229,10-K,2013-05-29,edgar/data/1005229/0001140361-13-023206.txt
MAGICJACK VOCALTEC LTD,0001005699,10-K,2013-04-02,edgar/data/1005699/0001178913-13-000986.txt
"IO World Media, Inc",0001005758,10-K,2013-04-15,edgar/data/1005758/0001213900-13-001810.txt
ARGAN INC,0000100591,10-K,2013-04-12,edgar/data/100591/0001193125-13-153301.txt
KVH INDUSTRIES INC \DE\,0001007587,10-K,2013-04-02,edgar/data/1007587/0001007587-13-000015.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,10-K,2013-04-26,edgar/data/1008586/0001445305-13-000932.txt
CAPSTONE TURBINE Corp,0001009759,10-K,2013-06-13,edgar/data/1009759/0001047469-13-006952.txt
"American Fiber Green Products, Inc.",0001009925,10-K,2013-05-31,edgar/data/1009925/0001477932-13-002806.txt
CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD,0001010566,10-K,2013-04-15,edgar/data/1010566/0001062993-13-001882.txt
ROBERTS REALTY INVESTORS INC,0001011109,10-K,2013-04-01,edgar/data/1011109/0001047469-13-003673.txt
TRIMOL GROUP INC,0001011733,10-K,2013-04-16,edgar/data/1011733/0001144204-13-022088.txt
