Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,MBNKO,,10-K,2022-03-14,edgar/data/1000209/0000950170-22-003603.txt
HENRY SCHEIN INC,0001000228,HSIC,,10-K,2022-02-15,edgar/data/1000228/0001000228-22-000016.txt
CORE LABORATORIES N V,0001000229,,,10-K,2022-02-10,edgar/data/1000229/0000950170-22-001087.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,IMPM,,10-K,2022-03-11,edgar/data/1000298/0001558370-22-003437.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,MATV,,10-K,2022-03-01,edgar/data/1000623/0001000623-22-000016.txt
BLONDER TONGUE LABORATORIES INC,0001000683,,,10-K,2022-03-31,edgar/data/1000683/0001213900-22-016788.txt
NOVAVAX INC,0001000694,NVAX,,10-K,2022-03-01,edgar/data/1000694/0001000694-22-000004.txt
WATERS CORP /DE/,0001000697,WAT,,10-K,2022-02-24,edgar/data/1000697/0001193125-22-051509.txt
"INSPERITY, INC.",0001000753,NSP,,10-K,2022-02-11,edgar/data/1000753/0001000753-22-000009.txt
DISH Network CORP,0001001082,,,10-K,2022-02-24,edgar/data/1001082/0001558370-22-001816.txt
TUCSON ELECTRIC POWER CO,0000100122,,,10-K,2022-02-11,edgar/data/100122/0000100122-22-000004.txt
"SANGAMO THERAPEUTICS, INC",0001001233,SGMO,,10-K,2022-02-24,edgar/data/1001233/0001628280-22-003819.txt
"TG THERAPEUTICS, INC.",0001001316,TGTX,,10-K,2022-03-01,edgar/data/1001316/0001558370-22-002617.txt
NORTHWEST PIPE CO,0001001385,NWPX,,10-K,2022-03-16,edgar/data/1001385/0001437749-22-006431.txt
"MGT CAPITAL INVESTMENTS, INC.",0001001601,MGTI,,10-K,2022-03-31,edgar/data/1001601/0001493152-22-008514.txt
SOUTHERN COPPER CORP/,0001001838,SCCO,,10-K,2022-03-07,edgar/data/1001838/0001558370-22-002968.txt
INTEVAC INC,0001001902,,,10-K,2022-02-17,edgar/data/1001902/0001193125-22-045448.txt
AMEREN CORP,0001002910,AEE,,10-K,2022-02-23,edgar/data/1002910/0001002910-22-000038.txt
DUKE REALTY Ltd PARTNERSHIP/,0001003410,,,10-K,2022-02-18,edgar/data/1003410/0000783280-22-000010.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,,,10-K,2022-03-24,edgar/data/1003509/0001193125-22-084006.txt
BCTC IV ASSIGNOR CORP,0001003815,,,10-K,2022-03-24,edgar/data/1003815/0001410578-22-000485.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,,,10-K,2022-02-22,edgar/data/1004036/0000899715-22-000036.txt
SOUTHERN Co GAS,0001004155,,,10-K,2022-02-17,edgar/data/1004155/0000092122-22-000003.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,MGRE,,10-K,2022-02-18,edgar/data/1004434/0001004434-22-000017.txt
