Company Name,CIK,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,10-K,2013-12-20,edgar/data/1000230/0001000230-13-000016.txt
WALT DISNEY CO/,0001001039,10-K,2013-11-20,edgar/data/1001039/0001001039-13-000164.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,10-K,2013-11-22,edgar/data/1001115/0001564590-13-001356.txt
ASTA FUNDING INC,0001001258,10-K,2013-12-13,edgar/data/1001258/0001193125-13-473407.txt
ASTROTECH Corp \WA\,0001001907,10-K,2013-10-15,edgar/data/1001907/0001515971-13-000465.txt
"LEARNING TREE INTERNATIONAL, INC.",0001002037,10-K,2013-12-12,edgar/data/1002037/0001437749-13-015924.txt
"ABSOLUTE POTENTIAL, INC.",0001002360,10-K,2013-12-24,edgar/data/1002360/0001000096-13-000182.txt
"Nuance Communications, Inc.",0001002517,10-K,2013-11-29,edgar/data/1002517/0001002517-13-000060.txt
STAR GAS PARTNERS LP,0001002590,10-K,2013-12-11,edgar/data/1002590/0001193125-13-469866.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,10-K,2013-10-30,edgar/data/1003078/0001144204-13-057653.txt
HEADWATERS INC,0001003344,10-K,2013-11-19,edgar/data/1003344/0001047469-13-010636.txt
BARNWELL INDUSTRIES INC,0000010048,10-K,2013-12-16,edgar/data/10048/0001104659-13-090370.txt
TYSON FOODS INC,0000100493,10-K,2013-11-18,edgar/data/100493/0000100493-13-000079.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2013-10-15,edgar/data/1005101/0001354488-13-005701.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,10-K,2013-11-27,edgar/data/1005210/0001193125-13-456057.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,10-K,2013-12-27,edgar/data/1005276/0001005276-13-000016.txt
UGI UTILITIES INC,0000100548,10-K,2013-12-16,edgar/data/100548/0000100548-13-000018.txt
IDT CORP,0001005731,10-K,2013-10-15,edgar/data/1005731/0001193125-13-399818.txt
"PURE BIOSCIENCE, INC.",0001006028,10-K,2013-10-24,edgar/data/1006028/0001193125-13-409928.txt
BROCADE COMMUNICATIONS SYSTEMS INC,0001009626,10-K,2013-12-16,edgar/data/1009626/0001009626-13-000127.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,10-K,2013-10-30,edgar/data/1013237/0001437749-13-013610.txt
"SIRONA DENTAL SYSTEMS, INC.",0001014507,10-K,2013-11-22,edgar/data/1014507/0001193125-13-451128.txt
UNITED REFINING CO,0000101462,10-K,2013-11-26,edgar/data/101462/0001193125-13-454420.txt
DIGITAL CREATIVE DEVELOPMENT CORP,0001016951,10-K,2013-10-21,edgar/data/1016951/0001471242-13-000372.txt
ROFIN SINAR TECHNOLOGIES INC,0001019361,10-K,2013-11-29,edgar/data/1019361/0001019361-13-000048.txt
UNITED NATURAL FOODS INC,0001020859,10-K,2013-10-01,edgar/data/1020859/0001020859-13-000178.txt
"JV GROUP, INC.",0001021917,10-K,2013-10-15,edgar/data/1021917/0001072588-13-000113.txt
NATIONAL SCIENTIFIC CORP/AZ,0001022505,10-K,2013-10-10,edgar/data/1022505/0000721748-13-000671.txt
SIMULATIONS PLUS INC,0001023459,10-K,2013-11-18,edgar/data/1023459/0001019687-13-004444.txt
NATIONAL HOLDINGS CORP,0001023844,10-K,2013-12-27,edgar/data/1023844/0001437749-13-016493.txt
ROCKWELL AUTOMATION INC,0001024478,10-K,2013-11-18,edgar/data/1024478/0001024478-13-000035.txt
VALSPAR CORP,0000102741,10-K,2013-12-20,edgar/data/102741/0000897101-13-001932.txt
KMG CHEMICALS INC,0001028215,10-K,2013-10-30,edgar/data/1028215/0001193125-13-418701.txt
"Spectrum Brands, Inc.",0001028985,10-K,2013-11-27,edgar/data/1028985/0001028985-13-000009.txt
SONIC FOUNDRY INC,0001029744,10-K,2013-12-26,edgar/data/1029744/0001193125-13-484680.txt
VEECO INSTRUMENTS INC,0000103145,10-K,2013-11-04,edgar/data/103145/0001047469-13-010200.txt
MAXIMUS INC,0001032220,10-K,2013-11-19,edgar/data/1032220/0001047469-13-010633.txt
VILLAGE SUPER MARKET INC,0000103595,10-K,2013-10-08,edgar/data/103595/0001096906-13-001552.txt
"VOLT INFORMATION SCIENCES, INC.",0000103872,10-K,2013-11-15,edgar/data/103872/0001193125-13-444053.txt
UNITED REFINING CO /PA/,0001040270,10-K,2013-11-26,edgar/data/1040270/0001193125-13-454420.txt
PRICESMART INC,0001041803,10-K,2013-10-30,edgar/data/1041803/0001041803-13-000052.txt
WALGREEN CO,0000104207,10-K,2013-10-21,edgar/data/104207/0000104207-13-000104.txt
"China Precision Steel, Inc.",0001044577,10-K,2013-10-11,edgar/data/1044577/0001493152-13-001985.txt
KIANTONE PIPELINE CO,0001045539,10-K,2013-11-26,edgar/data/1045539/0001193125-13-454420.txt
KWIK FIL INC,0001045540,10-K,2013-11-26,edgar/data/1045540/0001193125-13-454420.txt
KWIK FILL CORP,0001045541,10-K,2013-11-26,edgar/data/1045541/0001193125-13-454420.txt
UNITED JET CENTER INC,0001045542,10-K,2013-11-26,edgar/data/1045542/0001193125-13-454420.txt
BELL OIL CORP,0001045543,10-K,2013-11-26,edgar/data/1045543/0001193125-13-454420.txt
PPC INC,0001045544,10-K,2013-11-26,edgar/data/1045544/0001193125-13-454420.txt
SUPER TEST PETROLEUM INC,0001045545,10-K,2013-11-26,edgar/data/1045545/0001193125-13-454420.txt
VULCAN ASPHALT REFINING CORP,0001045546,10-K,2013-11-26,edgar/data/1045546/0001193125-13-454420.txt
INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,0001045547,10-K,2013-11-26,edgar/data/1045547/0001193125-13-454420.txt
TIMBERLAND BANCORP INC,0001046050,10-K,2013-12-11,edgar/data/1046050/0000939057-13-000539.txt
WASHINGTON GAS LIGHT CO,0000104819,10-K,2013-11-20,edgar/data/104819/0001193125-13-447277.txt
INTEGRATED ELECTRICAL SERVICES INC,0001048268,10-K,2013-12-17,edgar/data/1048268/0001193125-13-476228.txt
F5 NETWORKS INC,0001048695,10-K,2013-11-22,edgar/data/1048695/0001445305-13-003079.txt
"WSI INDUSTRIES, INC.",0000104897,10-K,2013-10-24,edgar/data/104897/0001437749-13-013359.txt
NUTRACEUTICAL INTERNATIONAL CORP,0001050007,10-K,2013-11-26,edgar/data/1050007/0001047469-13-010881.txt
WD 40 CO,0000105132,10-K,2013-10-22,edgar/data/105132/0000105132-13-000015.txt
MARINEMAX INC,0001057060,10-K,2013-12-06,edgar/data/1057060/0001193125-13-465179.txt
NASB FINANCIAL INC,0001059131,10-K,2013-12-16,edgar/data/1059131/0001193125-13-474717.txt
GENEREX BIOTECHNOLOGY CORP,0001059784,10-K,2013-10-11,edgar/data/1059784/0001554795-13-000602.txt
"AOXING PHARMACEUTICAL COMPANY, INC.",0001060426,10-K,2013-10-15,edgar/data/1060426/0001096906-13-001576.txt
PEREGRINE INDUSTRIES INC,0001061164,10-K,2013-10-11,edgar/data/1061164/0001295345-13-000175.txt
CEPHAS HOLDING CORP.,0001061169,10-K,2013-11-12,edgar/data/1061169/0001061169-13-000009.txt
SpendSmart Payments Co,0001062273,10-K,2013-12-30,edgar/data/1062273/0001144204-13-069417.txt
PULASKI FINANCIAL CORP,0001062438,10-K,2013-12-16,edgar/data/1062438/0001104659-13-090380.txt
PRETIUM PACKAGING L L C,0001064090,10-K,2013-12-05,edgar/data/1064090/0001064090-13-000018.txt
CONCUR TECHNOLOGIES INC,0001066026,10-K,2013-11-13,edgar/data/1066026/0001066026-13-000022.txt
RGC RESOURCES INC,0001069533,10-K,2013-12-11,edgar/data/1069533/0001193125-13-469474.txt
STERLING BANCORP,0001070154,10-K,2013-12-09,edgar/data/1070154/0001445305-13-003139.txt
"NEW ENERGY TECHNOLOGIES, INC.",0001071840,10-K,2013-11-27,edgar/data/1071840/0001477932-13-005887.txt
M LINE HOLDINGS INC,0001072248,10-K,2013-12-31,edgar/data/1072248/0000721748-13-000968.txt
YUMMIES INC,0001073748,10-K,2013-12-18,edgar/data/1073748/0001096906-13-001873.txt
"PopBig, Inc.",0001076744,10-K,2013-12-20,edgar/data/1076744/0001096906-13-001890.txt
WINNEBAGO INDUSTRIES INC,0000107687,10-K,2013-10-29,edgar/data/107687/0000107687-13-000048.txt
BECTON DICKINSON & CO,0000010795,10-K,2013-11-27,edgar/data/10795/0001193125-13-456802.txt
Novation Holdings Inc,0001080602,10-K,2013-12-16,edgar/data/1080602/0001080602-13-000062.txt
"Woodward, Inc.",0000108312,10-K,2013-11-14,edgar/data/108312/0000108312-13-000018.txt
"Flux Power Holdings, Inc.",0001083743,10-K,2013-10-15,edgar/data/1083743/0001144204-13-055300.txt
EON COMMUNICATIONS CORP,0001084752,10-K,2013-11-12,edgar/data/1084752/0001144204-13-060627.txt
UNI CORE HOLDINGS CORP,0001088312,10-K,2013-10-15,edgar/data/1088312/0001144204-13-055106.txt
AGILENT TECHNOLOGIES INC,0001090872,10-K,2013-12-19,edgar/data/1090872/0001090872-13-000029.txt
HARBINGER GROUP INC.,0000109177,10-K,2013-11-27,edgar/data/109177/0000109177-13-000026.txt
SYCAMORE NETWORKS INC,0001092367,10-K,2013-10-18,edgar/data/1092367/0001193125-13-403928.txt
"Franchise Holdings International, Inc.",0001096275,10-K,2013-12-13,edgar/data/1096275/0001354488-13-006837.txt
"Myriad Interactive Media, Inc.",0001096555,10-K,2013-10-15,edgar/data/1096555/0001551163-13-000124.txt
SaviCorp,0001096637,10-K,2013-10-15,edgar/data/1096637/0001019687-13-003871.txt
SaviCorp,0001096637,10-K,2013-11-27,edgar/data/1096637/0001019687-13-004660.txt
SaviCorp,0001096637,10-K,2013-12-18,edgar/data/1096637/0001019687-13-004887.txt
ENERGIZER HOLDINGS INC,0001096752,10-K,2013-11-21,edgar/data/1096752/0001096752-13-000159.txt
CROWN MARKETING,0001098009,10-K,2013-10-02,edgar/data/1098009/0001002334-13-000058.txt
DESTINY MEDIA TECHNOLOGIES INC,0001099369,10-K,2013-11-25,edgar/data/1099369/0001062993-13-006027.txt
Teleconnect Inc.,0001101688,10-K,2013-12-30,edgar/data/1101688/0000721748-13-000966.txt
"Royal Energy Resources, Inc.",0001102392,10-K,2013-11-27,edgar/data/1102392/0001493152-13-002568.txt
CABOT MICROELECTRONICS CORP,0001102934,10-K,2013-11-20,edgar/data/1102934/0001102934-13-000024.txt
WGL HOLDINGS INC,0001103601,10-K,2013-11-20,edgar/data/1103601/0001193125-13-447277.txt
MONSANTO CO /NEW/,0001110783,10-K,2013-10-23,edgar/data/1110783/0001110783-13-000205.txt
MEDICAL INTERNATIONAL TECHNOLOGY INC,0001112372,10-K,2013-12-30,edgar/data/1112372/0001213900-13-007459.txt
MERITOR INC,0001113256,10-K,2013-11-20,edgar/data/1113256/0001421102-13-000073.txt
US FUEL CORP,0001116112,10-K,2013-12-17,edgar/data/1116112/0001144204-13-067721.txt
AVAYA INC,0001116521,10-K,2013-11-22,edgar/data/1116521/0001116521-13-000027.txt
"MODEL N, INC.",0001118417,10-K,2013-12-09,edgar/data/1118417/0001193125-13-465490.txt
"30DC, INC.",0001118974,10-K,2013-12-23,edgar/data/1118974/0001065949-13-000173.txt
