Company Name,CIK,Form Type,Date Filed,Filename
MEDALLION FINANCIAL CORP,0001000209,10-K,2020-03-30,edgar/data/1000209/0001564590-20-014310.txt
HENRY SCHEIN INC,0001000228,10-K,2020-02-20,edgar/data/1000228/0001000228-20-000018.txt
CORE LABORATORIES N V,0001000229,10-K,2020-02-10,edgar/data/1000229/0001564590-20-004075.txt
OPTICAL CABLE CORP,0001000230,10-K,2020-01-27,edgar/data/1000230/0001437749-20-001224.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2020-03-10,edgar/data/1000232/0001558370-20-002327.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2020-03-13,edgar/data/1000298/0001558370-20-002683.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2020-03-02,edgar/data/1000623/0001000623-20-000048.txt
NOVAVAX INC,0001000694,10-K,2020-03-11,edgar/data/1000694/0001104659-20-031944.txt
WATERS CORP /DE/,0001000697,10-K,2020-02-25,edgar/data/1000697/0001193125-20-048303.txt
"INSPERITY, INC.",0001000753,10-K,2020-02-12,edgar/data/1000753/0001000753-20-000013.txt
DISH Network CORP,0001001082,10-K,2020-02-19,edgar/data/1001082/0001558370-20-000945.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2020-03-27,edgar/data/1001171/0001047469-20-001882.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2020-02-13,edgar/data/100122/0000100122-20-000006.txt
"SANGAMO THERAPEUTICS, INC",0001001233,10-K,2020-02-28,edgar/data/1001233/0001628280-20-002582.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2020-03-02,edgar/data/1001316/0001558370-20-001897.txt
NORTHWEST PIPE CO,0001001385,10-K,2020-03-03,edgar/data/1001385/0001437749-20-004236.txt
"MGT CAPITAL INVESTMENTS, INC.",0001001601,10-K,2020-03-30,edgar/data/1001601/0001493152-20-005218.txt
TENGASCO INC,0001001614,10-K,2020-03-30,edgar/data/1001614/0001140361-20-007405.txt
SOUTHERN COPPER CORP/,0001001838,10-K,2020-02-28,edgar/data/1001838/0001558370-20-001781.txt
INTEVAC INC,0001001902,10-K,2020-02-12,edgar/data/1001902/0001193125-20-033196.txt
AMEREN CORP,0001002910,10-K,2020-02-28,edgar/data/1002910/0001002910-20-000077.txt
"MMA Capital Holdings, Inc.",0001003201,10-K,2020-03-13,edgar/data/1003201/0001558370-20-002605.txt
DUKE REALTY Ltd PARTNERSHIP/,0001003410,10-K,2020-02-25,edgar/data/1003410/0000783280-20-000010.txt
AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,0001003509,10-K,2020-03-25,edgar/data/1003509/0001193125-20-085434.txt
BCTC IV ASSIGNOR CORP,0001003815,10-K,2020-03-04,edgar/data/1003815/0001003815-20-000002.txt
TANGER PROPERTIES LTD PARTNERSHIP /NC/,0001004036,10-K,2020-02-19,edgar/data/1004036/0000899715-20-000057.txt
SOUTHERN Co GAS,0001004155,10-K,2020-02-20,edgar/data/1004155/0000092122-20-000017.txt
"AFFILIATED MANAGERS GROUP, INC.",0001004434,10-K,2020-02-28,edgar/data/1004434/0001004434-20-000011.txt
OCEANFIRST FINANCIAL CORP,0001004702,10-K,2020-02-28,edgar/data/1004702/0001004702-20-000027.txt
"REGIONAL HEALTH PROPERTIES, INC",0001004724,10-K,2020-03-27,edgar/data/1004724/0001564590-20-013602.txt
PG&E Corp,0001004980,10-K,2020-02-18,edgar/data/1004980/0001004980-20-000009.txt
"GRAPHIC PACKAGING INTERNATIONAL, LLC",0001005011,10-K,2020-02-11,edgar/data/1005011/0001005011-20-000005.txt
"United Airlines Holdings, Inc.",0000100517,10-K,2020-02-25,edgar/data/100517/0000100517-20-000010.txt
"Assertio Therapeutics, Inc",0001005201,10-K,2020-03-10,edgar/data/1005201/0001005201-20-000021.txt
UNIVERSAL DISPLAY CORP \PA\,0001005284,10-K,2020-02-20,edgar/data/1005284/0001564590-20-005548.txt
DIME COMMUNITY BANCSHARES INC,0001005409,10-K,2020-03-12,edgar/data/1005409/0001140361-20-005636.txt
CSG SYSTEMS INTERNATIONAL INC,0001005757,10-K,2020-02-21,edgar/data/1005757/0001564590-20-005691.txt
TOMPKINS FINANCIAL CORP,0001005817,10-K,2020-03-02,edgar/data/1005817/0001005817-20-000005.txt
IRIDEX CORP,0001006045,10-K,2020-03-13,edgar/data/1006045/0001564590-20-010869.txt
LORAL SPACE & COMMUNICATIONS INC.,0001006269,10-K,2020-03-12,edgar/data/1006269/0001558370-20-002499.txt
"Protalix BioTherapeutics, Inc.",0001006281,10-K,2020-03-12,edgar/data/1006281/0001104659-20-032540.txt
"HC2 HOLDINGS, INC.",0001006837,10-K,2020-03-16,edgar/data/1006837/0001006837-20-000044.txt
COFFEE HOLDING CO INC,0001007019,10-K,2020-01-29,edgar/data/1007019/0001493152-20-001327.txt
UNICO AMERICAN CORP,0000100716,10-K,2020-03-30,edgar/data/100716/0000100716-20-000021.txt
BANK OF SOUTH CAROLINA CORP,0001007273,10-K,2020-03-06,edgar/data/1007273/0001387131-20-002611.txt
"PRGX GLOBAL, INC.",0001007330,10-K,2020-03-12,edgar/data/1007330/0001007330-20-000003.txt
KVH INDUSTRIES INC \DE\,0001007587,10-K,2020-02-28,edgar/data/1007587/0001007587-20-000004.txt
UNION CARBIDE CORP /NEW/,0000100790,10-K,2020-02-07,edgar/data/100790/0000029915-20-000003.txt
UNION ELECTRIC CO,0000100826,10-K,2020-02-28,edgar/data/100826/0001002910-20-000077.txt
TUPPERWARE BRANDS CORP,0001008654,10-K,2020-03-12,edgar/data/1008654/0001008654-20-000018.txt
ACORDA THERAPEUTICS INC,0001008848,10-K,2020-02-28,edgar/data/1008848/0001564590-20-007789.txt
UNION PACIFIC CORP,0000100885,10-K,2020-02-07,edgar/data/100885/0000100885-20-000065.txt
