Company Name,CIK,Form Type,Date Filed,Filename
ESTEE LAUDER COMPANIES INC,0001001250,10-K,2011-08-22,edgar/data/1001250/0001104659-11-048120.txt
INTERNET AMERICA INC,0001001279,10-K,2011-09-27,edgar/data/1001279/0001144204-11-055102.txt
PERICOM SEMICONDUCTOR CORP,0001001426,10-K,2011-08-30,edgar/data/1001426/0001144204-11-050424.txt
ASTROTECH Corp \WA\,0001001907,10-K,2011-09-20,edgar/data/1001907/0000950123-11-085361.txt
OPEN TEXT CORP,0001002638,10-K,2011-08-15,edgar/data/1002638/0001193125-11-222831.txt
KENSEY NASH CORP,0001002811,10-K,2011-09-12,edgar/data/1002811/0001193125-11-245994.txt
TWIN DISC INC,0000100378,10-K,2011-09-13,edgar/data/100378/0000100378-11-000038.txt
250 WEST 57TH ST ASSOCIATES L.L.C.,0000100412,10-K,2011-08-17,edgar/data/100412/0000100412-11-000008.txt
LANDEC CORP \CA\,0001005286,10-K,2011-08-08,edgar/data/1005286/0001144204-11-044333.txt
FFD FINANCIAL CORP/OH,0001006177,10-K,2011-09-28,edgar/data/1006177/0001140361-11-047106.txt
EVOLUTION PETROLEUM CORP,0001006655,10-K,2011-09-13,edgar/data/1006655/0001104659-11-051508.txt
CONSUMERS BANCORP INC /OH/,0001006830,10-K,2011-09-16,edgar/data/1006830/0001144204-11-053477.txt
UNIFI INC,0000100726,10-K,2011-09-09,edgar/data/100726/0001437749-11-006738.txt
PROVIDENT FINANCIAL HOLDINGS INC,0001010470,10-K,2011-09-13,edgar/data/1010470/0000939057-11-000291.txt
AdvanSource Biomaterials Corp,0001011060,10-K,2011-07-14,edgar/data/1011060/0001011060-11-000011.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,10-K,2011-09-26,edgar/data/1012493/0001104659-11-053149.txt
DIGITAL CREATIVE DEVELOPMENT CORP,0001016951,10-K,2011-09-30,edgar/data/1016951/0001213900-11-005376.txt
FIRST ACCEPTANCE CORP /DE/,0001017907,10-K,2011-08-31,edgar/data/1017907/0000950123-11-081802.txt
INTEGRAL TECHNOLOGIES INC,0001018281,10-K,2011-09-28,edgar/data/1018281/0001140361-11-047149.txt
"INTERNET INFINITY, INC.",0001020302,10-K,2011-07-14,edgar/data/1020302/0001437749-11-004794.txt
"NorWesTech, Inc.",0001020475,10-K,2011-09-27,edgar/data/1020475/0001144204-11-055041.txt
UNITED NATURAL FOODS INC,0001020859,10-K,2011-09-28,edgar/data/1020859/0001047469-11-008270.txt
OPLINK COMMUNICATIONS INC,0001022225,10-K,2011-09-16,edgar/data/1022225/0001022225-11-000024.txt
"SCHIFF NUTRITION INTERNATIONAL, INC.",0001022368,10-K,2011-08-15,edgar/data/1022368/0001022368-11-000040.txt
AMASYS CORP,0001023198,10-K,2011-09-26,edgar/data/1023198/0001023198-11-000015.txt
SMF ENERGY CORP,0001024452,10-K,2011-09-28,edgar/data/1024452/0001144204-11-055366.txt
TRC COMPANIES INC /DE/,0000103096,10-K,2011-09-08,edgar/data/103096/0001515316-11-000040.txt
GLOBECOMM SYSTEMS INC,0001031028,10-K,2011-09-13,edgar/data/1031028/0000950123-11-084268.txt
SENESCO TECHNOLOGIES INC,0001035354,10-K,2011-09-28,edgar/data/1035354/0001144204-11-055379.txt
WNC HOUSING TAX CREDIT FUND VI LP SERIES 5,0001036500,10-K,2011-09-23,edgar/data/1036500/0001084067-11-000272.txt
OSI SYSTEMS INC,0001039065,10-K,2011-08-26,edgar/data/1039065/0001047469-11-007670.txt
NETSOL TECHNOLOGIES INC,0001039280,10-K,2011-09-16,edgar/data/1039280/0001171843-11-002778.txt
ROBOCOM SYSTEMS INTERNATIONAL INC,0001039757,10-K,2011-08-29,edgar/data/1039757/0001140361-11-043927.txt
AEHR TEST SYSTEMS,0001040470,10-K,2011-08-26,edgar/data/1040470/0001040470-11-000044.txt
NET 1 UEPS TECHNOLOGIES INC,0001041514,10-K,2011-08-25,edgar/data/1041514/0001062993-11-003461.txt
PERVASIVE SOFTWARE INC,0001042821,10-K,2011-09-13,edgar/data/1042821/0001193125-11-246911.txt
"China Precision Steel, Inc.",0001044577,10-K,2011-09-28,edgar/data/1044577/0001144204-11-055341.txt
CALAIS RESOURCES INC,0001044650,10-K,2011-07-15,edgar/data/1044650/0000949353-11-000235.txt
CALAIS RESOURCES INC,0001044650,10-K,2011-08-29,edgar/data/1044650/0000949353-11-000292.txt
VANGUARD HEALTH SYSTEMS INC,0001045829,10-K,2011-08-25,edgar/data/1045829/0000950123-11-080222.txt
FEDEX CORP,0001048911,10-K,2011-07-12,edgar/data/1048911/0000950123-11-065246.txt
US DATAWORKS INC,0001049505,10-K,2011-07-13,edgar/data/1049505/0001144204-11-040350.txt
MERCURY COMPUTER SYSTEMS INC,0001049521,10-K,2011-08-18,edgar/data/1049521/0001193125-11-226448.txt
"Tongli Pharmaceuticals (USA), Inc.",0001052284,10-K,2011-07-14,edgar/data/1052284/0001144204-11-040622.txt
SCHOOL SPECIALTY INC,0001055454,10-K,2011-07-01,edgar/data/1055454/0001193125-11-179993.txt
NBC ACQUISITION CORP,0001056756,10-K,2011-07-14,edgar/data/1056756/0000950123-11-065695.txt
HYPERTENSION DIAGNOSTICS INC /MN,0001058828,10-K,2011-09-16,edgar/data/1058828/0001058828-11-000022.txt
"bebe stores, inc.",0001059272,10-K,2011-09-15,edgar/data/1059272/0001193125-11-249281.txt
MIPS TECHNOLOGIES INC,0001059786,10-K,2011-08-26,edgar/data/1059786/0001103969-11-000029.txt
"SUNVESTA, INC.",0001060409,10-K,2011-09-06,edgar/data/1060409/0001211524-11-000225.txt
WESTERN DIGITAL CORP,0000106040,10-K,2011-08-12,edgar/data/106040/0000950123-11-076255.txt
"AOXING PHARMACEUTICAL COMPANY, INC.",0001060426,10-K,2011-09-28,edgar/data/1060426/0001096906-11-002277.txt
GENERAL METALS CORP,0001060910,10-K,2011-08-15,edgar/data/1060910/0001437749-11-006007.txt
CORGENIX MEDICAL CORP/CO,0001063665,10-K,2011-09-23,edgar/data/1063665/0001047469-11-008188.txt
AMERITRANS CAPITAL CORP,0001064015,10-K,2011-09-28,edgar/data/1064015/0001398432-11-000765.txt
"Shearson American REIT, Inc.",0001065001,10-K,2011-09-07,edgar/data/1065001/0001019687-11-002920.txt
MAGMA DESIGN AUTOMATION INC,0001065034,10-K,2011-07-15,edgar/data/1065034/0001445305-11-001881.txt
CORINTHIAN COLLEGES INC,0001066134,10-K,2011-08-24,edgar/data/1066134/0001047469-11-007635.txt
EGAIN COMMUNICATIONS CORP,0001066194,10-K,2011-09-27,edgar/data/1066194/0001193125-11-257374.txt
"CRACKER BARREL OLD COUNTRY STORE, INC",0001067294,10-K,2011-09-27,edgar/data/1067294/0001140361-11-046998.txt
ARTIFICIAL LIFE INC,0001070361,10-K,2011-08-03,edgar/data/1070361/0001145443-11-000702.txt
SABA SOFTWARE INC,0001070380,10-K,2011-08-05,edgar/data/1070380/0001193125-11-212166.txt
GREENE COUNTY BANCORP INC,0001070524,10-K,2011-09-28,edgar/data/1070524/0001070524-11-000023.txt
CONTANGO OIL & GAS CO,0001071993,10-K,2011-08-29,edgar/data/1071993/0001193125-11-235620.txt
BOTTOMLINE TECHNOLOGIES INC /DE/,0001073349,10-K,2011-09-09,edgar/data/1073349/0001193125-11-244233.txt
Intelligent Living Corp,0001073362,10-K,2011-09-30,edgar/data/1073362/0001052918-11-000527.txt
WILSHIRE ENTERPRISES INC,0000107454,10-K,2011-07-29,edgar/data/107454/0000914121-11-000223.txt
BEAR LAKE RECREATION INC,0001074871,10-K,2011-08-25,edgar/data/1074871/0001024020-11-000053.txt
WINN DIXIE STORES INC,0000107681,10-K,2011-08-29,edgar/data/107681/0001193125-11-235478.txt
CHINA HOLDINGS GROUP INC,0001076891,10-K,2011-08-11,edgar/data/1076891/0001002334-11-000313.txt
SENSE TECHNOLOGIES INC,0001077638,10-K,2011-08-03,edgar/data/1077638/0001325310-11-000036.txt
"REMEDENT, INC.",0001078037,10-K,2011-07-14,edgar/data/1078037/0001144204-11-040518.txt
EXTREME NETWORKS INC,0001078271,10-K,2011-08-30,edgar/data/1078271/0001078271-11-000066.txt
"ProGreen Properties, Inc.",0001079297,10-K,2011-07-29,edgar/data/1079297/0001144204-11-042850.txt
George Foreman Enterprises Inc,0001079786,10-K,2011-08-25,edgar/data/1079786/0001144204-11-049790.txt
George Foreman Enterprises Inc,0001079786,10-K,2011-08-26,edgar/data/1079786/0001144204-11-049812.txt
George Foreman Enterprises Inc,0001079786,10-K,2011-08-26,edgar/data/1079786/0001144204-11-049861.txt
PATRIOT GOLD CORP,0001080448,10-K,2011-09-13,edgar/data/1080448/0000939802-11-000256.txt
CHINA NEW MEDIA CORP,0001080627,10-K,2011-09-28,edgar/data/1080627/0001079973-11-000777.txt
DITECH NETWORKS INC,0001080667,10-K,2011-07-28,edgar/data/1080667/0001047469-11-006701.txt
API Technologies Corp.,0001081078,10-K,2011-08-26,edgar/data/1081078/0001193125-11-234223.txt
STUDIO II BRANDS INC,0001081091,10-K,2011-08-09,edgar/data/1081091/0001137050-11-000192.txt
"Pavilion Energy Resources, Inc.",0001082431,10-K,2011-08-19,edgar/data/1082431/0001099910-11-000166.txt
OPENWAVE SYSTEMS INC,0001082506,10-K,2011-09-06,edgar/data/1082506/0001193125-11-240409.txt
Grupo International Inc,0001082576,10-K,2011-08-01,edgar/data/1082576/0001269678-11-000218.txt
"China Water Group, Inc.",0001083459,10-K,2011-07-11,edgar/data/1083459/0001144204-11-039930.txt
RESOURCES CONNECTION INC,0001084765,10-K,2011-07-26,edgar/data/1084765/0000950123-11-067991.txt
1 800 FLOWERS COM INC,0001084869,10-K,2011-09-16,edgar/data/1084869/0001140361-11-046233.txt
WORTHINGTON INDUSTRIES INC,0000108516,10-K,2011-08-01,edgar/data/108516/0001193125-11-204674.txt
BLOCKBUSTER INC,0001085734,10-K,2011-07-13,edgar/data/1085734/0001193125-11-186981.txt
WPCS INTERNATIONAL INC,0001086745,10-K,2011-07-29,edgar/data/1086745/0001013762-11-002001.txt
QUICK-MED TECHNOLOGIES INC,0001088206,10-K,2011-09-29,edgar/data/1088206/0001088206-11-000015.txt
