Company Name,CIK,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,10-K,2018-06-27,edgar/data/1000045/0001193125-18-205637.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2018-04-02,edgar/data/1000683/0001213900-18-003785.txt
"Acacia Diversified Holdings, Inc.",0001001463,10-K,2018-04-02,edgar/data/1001463/0001185185-18-000573.txt
MGT CAPITAL INVESTMENTS INC,0001001601,10-K,2018-04-02,edgar/data/1001601/0001493152-18-004538.txt
"NetApp, Inc.",0001002047,10-K,2018-06-19,edgar/data/1002047/0001564590-18-015820.txt
WESTELL TECHNOLOGIES INC,0001002135,10-K,2018-05-25,edgar/data/1002135/0001002135-18-000018.txt
GILLA INC.,0001004411,10-K,2018-05-03,edgar/data/1004411/0001654954-18-004707.txt
"REGIONAL HEALTH PROPERTIES, INC",0001004724,10-K,2018-04-16,edgar/data/1004724/0001564590-18-008206.txt
SPAR GROUP INC,0001004989,10-K,2018-04-02,edgar/data/1004989/0001437749-18-006047.txt
COLUMBUS MCKINNON CORP,0001005229,10-K,2018-05-30,edgar/data/1005229/0001005229-18-000202.txt
ARGAN INC,0000100591,10-K,2018-04-11,edgar/data/100591/0001104659-18-023493.txt
SIERRA MONITOR CORP /CA/,0000100625,10-K,2018-04-02,edgar/data/100625/0001493152-18-004303.txt
UNICO AMERICAN CORP,0000100716,10-K,2018-04-02,edgar/data/100716/0000100716-18-000013.txt
HIGHLANDS BANKSHARES INC /VA/,0001008579,10-K,2018-04-02,edgar/data/1008579/0001008579-18-000006.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,10-K,2018-04-25,edgar/data/1008586/0001628280-18-004993.txt
CAPSTONE TURBINE Corp,0001009759,10-K,2018-06-07,edgar/data/1009759/0001558370-18-005175.txt
AIR INDUSTRIES GROUP,0001009891,10-K,2018-04-18,edgar/data/1009891/0001193805-18-000544.txt
Geospatial Corp,0001011395,10-K,2018-04-16,edgar/data/1011395/0001376474-18-000092.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,10-K,2018-05-31,edgar/data/1011662/0001654954-18-006131.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,10-K,2018-06-18,edgar/data/1011662/0001654954-18-006736.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,10-K,2018-06-29,edgar/data/1011662/0001654954-18-007193.txt
"GlassBridge Enterprises, Inc.",0001014111,10-K,2018-04-02,edgar/data/1014111/0001014111-18-000002.txt
AMARILLO BIOSCIENCES INC,0001014763,10-K,2018-04-18,edgar/data/1014763/0001014763-18-000004.txt
"AMMO, INC.",0001015383,10-K,2018-04-11,edgar/data/1015383/0001079973-18-000247.txt
UNITED STATES ANTIMONY CORP,0000101538,10-K,2018-04-02,edgar/data/101538/0001654954-18-003447.txt
CARVER BANCORP INC,0001016178,10-K,2018-06-29,edgar/data/1016178/0001016178-18-000008.txt
SPRINT Corp,0000101830,10-K,2018-05-24,edgar/data/101830/0000101830-18-000023.txt
ABERCROMBIE & FITCH CO /DE/,0001018840,10-K,2018-04-02,edgar/data/1018840/0001018840-18-000018.txt
BIO KEY INTERNATIONAL INC,0001019034,10-K,2018-04-02,edgar/data/1019034/0001437749-18-006054.txt
SEACHANGE INTERNATIONAL INC,0001019671,10-K,2018-04-16,edgar/data/1019671/0001564590-18-008250.txt
PURADYN FILTER TECHNOLOGIES INC,0001019787,10-K,2018-04-10,edgar/data/1019787/0001553350-18-000327.txt
CAPITAL BEVERAGE CORP,0001020186,10-K,2018-04-13,edgar/data/1020186/0001213900-18-004421.txt
UNIVERSAL CORP /VA/,0000102037,10-K,2018-05-25,edgar/data/102037/0000102037-18-000012.txt
TRIUMPH GROUP INC,0001021162,10-K,2018-05-23,edgar/data/1021162/0001021162-18-000018.txt
hopTo Inc.,0001021435,10-K,2018-04-17,edgar/data/1021435/0001493152-18-005358.txt
EPLUS INC,0001022408,10-K,2018-05-25,edgar/data/1022408/0001022408-18-000014.txt
"Protagenic Therapeutics, Inc.\new",0001022899,10-K,2018-04-02,edgar/data/1022899/0001493152-18-004567.txt
alpha-En Corp,0001023298,10-K,2018-04-02,edgar/data/1023298/0001493152-18-004514.txt
8X8 INC /DE/,0001023731,10-K,2018-05-30,edgar/data/1023731/0001136261-18-000158.txt
"NOVATION COMPANIES, INC.",0001025953,10-K,2018-04-10,edgar/data/1025953/0001025953-18-000011.txt
GULFMARK OFFSHORE INC,0001030749,10-K,2018-04-02,edgar/data/1030749/0001437749-18-006012.txt
"Global Self Storage, Inc.",0001031235,10-K,2018-04-02,edgar/data/1031235/0001564590-18-007439.txt
