Company Name,CIK,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,10-K,2016-12-20,edgar/data/1000230/0001437749-16-043579.txt
WALT DISNEY CO/,0001001039,10-K,2016-11-23,edgar/data/1001039/0001001039-16-000516.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,10-K,2016-11-17,edgar/data/1001115/0001564590-16-029427.txt
ASTA FUNDING INC,0001001258,10-K,2016-12-14,edgar/data/1001258/0001437749-16-043365.txt
"Nuance Communications, Inc.",0001002517,10-K,2016-11-22,edgar/data/1002517/0001002517-16-000088.txt
STAR GAS PARTNERS LP,0001002590,10-K,2016-12-07,edgar/data/1002590/0001193125-16-787480.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,10-K,2016-11-01,edgar/data/1003078/0001003078-16-000362.txt
HEADWATERS INC,0001003344,10-K,2016-11-15,edgar/data/1003344/0001558370-16-010096.txt
BARNWELL INDUSTRIES INC,0000010048,10-K,2016-12-20,edgar/data/10048/0000010048-16-000021.txt
TYSON FOODS INC,0000100493,10-K,2016-11-21,edgar/data/100493/0000100493-16-000281.txt
CONCIERGE TECHNOLOGIES INC,0001005101,10-K,2016-10-21,edgar/data/1005101/0001654954-16-003000.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,10-K,2016-11-23,edgar/data/1005210/0001564590-16-029600.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,10-K,2016-12-28,edgar/data/1005276/0001005276-16-000030.txt
UGI UTILITIES INC,0000100548,10-K,2016-11-22,edgar/data/100548/0000100548-16-000045.txt
IDT CORP,0001005731,10-K,2016-10-14,edgar/data/1005731/0001213900-16-017511.txt
"PURE BIOSCIENCE, INC.",0001006028,10-K,2016-10-27,edgar/data/1006028/0001493152-16-014317.txt
BROCADE COMMUNICATIONS SYSTEMS INC,0001009626,10-K,2016-12-16,edgar/data/1009626/0001009626-16-000334.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,10-K,2016-10-31,edgar/data/1013237/0001437749-16-040606.txt
"Digerati Technologies, Inc.",0001014052,10-K,2016-10-27,edgar/data/1014052/0001213900-16-017758.txt
UNITED REFINING CO,0000101462,10-K,2016-11-29,edgar/data/101462/0001193125-16-779734.txt
ALTAIR NANOTECHNOLOGIES INC,0001016546,10-K,2016-11-16,edgar/data/1016546/0001437749-16-042208.txt
alpha-En Corp,0001023298,10-K,2016-10-20,edgar/data/1023298/0001144204-16-128761.txt
SIMULATIONS PLUS INC,0001023459,10-K,2016-11-14,edgar/data/1023459/0001683168-16-000633.txt
NATIONAL HOLDINGS CORP,0001023844,10-K,2016-12-29,edgar/data/1023844/0001023844-16-000035.txt
ROCKWELL AUTOMATION INC,0001024478,10-K,2016-11-15,edgar/data/1024478/0001024478-16-000071.txt
VALSPAR CORP,0000102741,10-K,2016-12-20,edgar/data/102741/0000102741-16-000024.txt
KMG CHEMICALS INC,0001028215,10-K,2016-10-14,edgar/data/1028215/0001564590-16-025811.txt
SONIC FOUNDRY INC,0001029744,10-K,2016-12-22,edgar/data/1029744/0001029744-16-000025.txt
MAXIMUS INC,0001032220,10-K,2016-11-21,edgar/data/1032220/0001032220-16-000249.txt
"Sevion Therapeutics, Inc.",0001035354,10-K,2016-10-13,edgar/data/1035354/0001144204-16-128038.txt
VILLAGE SUPER MARKET INC,0000103595,10-K,2016-10-12,edgar/data/103595/0000103595-16-000036.txt
XSUNX INC,0001039466,10-K,2016-12-14,edgar/data/1039466/0001185185-16-005947.txt
UNITED REFINING CO /PA/,0001040270,10-K,2016-11-29,edgar/data/1040270/0001193125-16-779734.txt
"Wincash Apolo Gold & Energy, Inc.",0001040721,10-K,2016-10-11,edgar/data/1040721/0001493152-16-013927.txt
PRICESMART INC,0001041803,10-K,2016-10-27,edgar/data/1041803/0001041803-16-000096.txt
KIANTONE PIPELINE CO,0001045539,10-K,2016-11-29,edgar/data/1045539/0001193125-16-779734.txt
KWIK FIL INC,0001045540,10-K,2016-11-29,edgar/data/1045540/0001193125-16-779734.txt
KWIK FILL CORP,0001045541,10-K,2016-11-29,edgar/data/1045541/0001193125-16-779734.txt
UNITED JET CENTER INC,0001045542,10-K,2016-11-29,edgar/data/1045542/0001193125-16-779734.txt
BELL OIL CORP,0001045543,10-K,2016-11-29,edgar/data/1045543/0001193125-16-779734.txt
PPC INC,0001045544,10-K,2016-11-29,edgar/data/1045544/0001193125-16-779734.txt
SUPER TEST PETROLEUM INC,0001045545,10-K,2016-11-29,edgar/data/1045545/0001193125-16-779734.txt
VULCAN ASPHALT REFINING CORP,0001045546,10-K,2016-11-29,edgar/data/1045546/0001193125-16-779734.txt
INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,0001045547,10-K,2016-11-29,edgar/data/1045547/0001193125-16-779734.txt
LIVE VENTURES Inc,0001045742,10-K,2016-12-29,edgar/data/1045742/0001683168-16-001034.txt
"Track Group, Inc.",0001045942,10-K,2016-12-20,edgar/data/1045942/0001654954-16-005033.txt
TIMBERLAND BANCORP INC,0001046050,10-K,2016-12-09,edgar/data/1046050/0000939057-16-001117.txt
WASHINGTON GAS LIGHT CO,0000104819,10-K,2016-11-22,edgar/data/104819/0001103601-16-000060.txt
"IES Holdings, Inc.",0001048268,10-K,2016-12-09,edgar/data/1048268/0001193125-16-789187.txt
F5 NETWORKS INC,0001048695,10-K,2016-11-04,edgar/data/1048695/0001048695-16-000049.txt
"WSI INDUSTRIES, INC.",0000104897,10-K,2016-11-04,edgar/data/104897/0001493152-16-014531.txt
NUTRACEUTICAL INTERNATIONAL CORP,0001050007,10-K,2016-11-17,edgar/data/1050007/0001050007-16-000015.txt
WD 40 CO,0000105132,10-K,2016-10-24,edgar/data/105132/0000105132-16-000097.txt
MARINEMAX INC,0001057060,10-K,2016-12-06,edgar/data/1057060/0001564590-16-029870.txt
"AOXING PHARMACEUTICAL COMPANY, INC.",0001060426,10-K,2016-10-05,edgar/data/1060426/0001096906-16-001934.txt
"SkyPeople Fruit Juice, Inc",0001066923,10-K,2016-11-28,edgar/data/1066923/0001213900-16-018959.txt
AS-IP TECH INC,0001067873,10-K,2016-10-13,edgar/data/1067873/0001393905-16-001063.txt
IMPLANT SCIENCES CORP,0001068874,10-K,2016-10-14,edgar/data/1068874/0001068874-16-000114.txt
RGC RESOURCES INC,0001069533,10-K,2016-12-08,edgar/data/1069533/0001069533-16-000055.txt
"SolarWindow Technologies, Inc.",0001071840,10-K,2016-11-21,edgar/data/1071840/0001477932-16-013701.txt
YUMMIES INC,0001073748,10-K,2016-10-31,edgar/data/1073748/0001096906-16-001976.txt
"Manasota Group, Inc.",0001074458,10-K,2016-10-11,edgar/data/1074458/0001520138-16-001198.txt
"Manasota Group, Inc.",0001074458,10-K,2016-10-11,edgar/data/1074458/0001520138-16-001202.txt
"Manasota Group, Inc.",0001074458,10-K,2016-10-12,edgar/data/1074458/0001520138-16-001207.txt
MAJESCO ENTERTAINMENT CO,0001076682,10-K,2016-12-30,edgar/data/1076682/0001654954-16-005166.txt
WINNEBAGO INDUSTRIES INC,0000107687,10-K,2016-10-18,edgar/data/107687/0000107687-16-000126.txt
"Bio-Matrix Scientific Group, Inc.",0001079282,10-K,2016-12-27,edgar/data/1079282/0001607062-16-001102.txt
BECTON DICKINSON & CO,0000010795,10-K,2016-11-23,edgar/data/10795/0001628280-16-021658.txt
"NuSTATE ENERGY HOLDINGS, INC.",0001082733,10-K,2016-10-13,edgar/data/1082733/0001493152-16-014009.txt
"Woodward, Inc.",0000108312,10-K,2016-11-16,edgar/data/108312/0000108312-16-000038.txt
"FREESTONE RESOURCES, INC.",0001089319,10-K,2016-10-13,edgar/data/1089319/0001121781-16-000553.txt
AGILENT TECHNOLOGIES INC,0001090872,10-K,2016-12-20,edgar/data/1090872/0001090872-16-000082.txt
"Nuo Therapeutics, Inc.",0001091596,10-K,2016-10-24,edgar/data/1091596/0001144204-16-129029.txt
"HRG GROUP, INC.",0000109177,10-K,2016-11-23,edgar/data/109177/0000109177-16-000186.txt
SYCAMORE NETWORKS INC,0001092367,10-K,2016-10-28,edgar/data/1092367/0001193125-16-751654.txt
EDGEWELL PERSONAL CARE Co,0001096752,10-K,2016-11-18,edgar/data/1096752/0001096752-16-000118.txt
"Ominto, Inc.",0001097792,10-K,2016-12-29,edgar/data/1097792/0001213900-16-019782.txt
CROWN MARKETING,0001098009,10-K,2016-12-16,edgar/data/1098009/0001098009-16-000023.txt
DESTINY MEDIA TECHNOLOGIES INC,0001099369,10-K,2016-11-29,edgar/data/1099369/0001062993-16-012523.txt
EASTGATE BIOTECH CORP,0001099574,10-K,2016-11-18,edgar/data/1099574/0001640334-16-002061.txt
"DELTA APPAREL, INC",0001101396,10-K,2016-11-29,edgar/data/1101396/0001101396-16-000097.txt
CABOT MICROELECTRONICS CORP,0001102934,10-K,2016-11-16,edgar/data/1102934/0001102934-16-000064.txt
WGL HOLDINGS INC,0001103601,10-K,2016-11-22,edgar/data/1103601/0001103601-16-000060.txt
SANGUI BIOTECH INTERNATIONAL INC,0001104280,10-K,2016-10-13,edgar/data/1104280/0001551163-16-000496.txt
MONSANTO CO /NEW/,0001110783,10-K,2016-10-19,edgar/data/1110783/0001110783-16-000532.txt
MERITOR INC,0001113256,10-K,2016-12-01,edgar/data/1113256/0001113256-16-000092.txt
"MODEL N, INC.",0001118417,10-K,2016-11-18,edgar/data/1118417/0001564590-16-029481.txt
BEACON ROOFING SUPPLY INC,0001124941,10-K,2016-11-22,edgar/data/1124941/0001144204-16-135949.txt
SPIRE INC,0001126956,10-K,2016-11-15,edgar/data/1126956/0001126956-16-000144.txt
NEVADA CLASSIC THOROUGHBREDS INC,0001128383,10-K,2016-10-11,edgar/data/1128383/0001128383-16-000030.txt
INFITECH VENTURES INC,0001129096,10-K,2016-10-27,edgar/data/1129096/0001062993-16-011896.txt
JANEL CORP,0001133062,10-K,2016-12-22,edgar/data/1133062/0001144204-16-141034.txt
CALAVO GROWERS INC,0001133470,10-K,2016-12-23,edgar/data/1133470/0001558370-16-010634.txt
"TX Holdings, Inc.",0001133798,10-K,2016-12-16,edgar/data/1133798/0001571049-16-020683.txt
AMAIZE BEVERAGE Corp,0001137005,10-K,2016-10-27,edgar/data/1137005/0001493152-16-014303.txt
ROCKWELL COLLINS INC,0001137411,10-K,2016-11-15,edgar/data/1137411/0001137411-16-000223.txt
AMERISOURCEBERGEN CORP,0001140859,10-K,2016-11-22,edgar/data/1140859/0001140859-16-000022.txt
"TAURIGA SCIENCES, INC.",0001142790,10-K,2016-10-14,edgar/data/1142790/0001493152-16-014031.txt
GLADSTONE CAPITAL CORP,0001143513,10-K,2016-11-21,edgar/data/1143513/0001193125-16-773798.txt
ACUITY BRANDS INC,0001144215,10-K,2016-10-27,edgar/data/1144215/0001144215-16-000287.txt
HENNESSY ADVISORS INC,0001145255,10-K,2016-12-01,edgar/data/1145255/0001193125-16-782532.txt
CHINA HGS REAL ESTATE INC.,0001158420,10-K,2016-12-21,edgar/data/1158420/0001144204-16-140689.txt
