Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,OMCC,,10-K,2022-06-24,edgar/data/1000045/0000950170-22-012061.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,BYFC,,10-K,2022-04-15,edgar/data/1001171/0001140361-22-014670.txt
"NetApp, Inc.",0001002047,NTAP,,10-K,2022-06-16,edgar/data/1002047/0000950170-22-011708.txt
"Integrated Cannabis Solutions, Inc.",0001002771,,,10-K,2022-04-05,edgar/data/1002771/0001477932-22-002067.txt
"SPAR Group, Inc.",0001004989,SGRP,,10-K,2022-04-15,edgar/data/1004989/0001437749-22-009005.txt
COLUMBUS MCKINNON CORP,0001005229,CMCO,,10-K,2022-05-25,edgar/data/1005229/0001005229-22-000157.txt
ARGAN INC,0000100591,AGX,,10-K,2022-04-13,edgar/data/100591/0001558370-22-005383.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,,,10-K,2022-04-28,edgar/data/1008586/0001493152-22-011434.txt
EKIMAS Corp,0001011060,NORD,,10-K,2022-06-28,edgar/data/1011060/0001493152-22-017952.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,,,10-K,2022-04-21,edgar/data/1011662/0001520138-22-000169.txt
"AMMO, INC.",0001015383,POWWP,,10-K,2022-06-29,edgar/data/1015383/0001493152-22-018107.txt
GENETHERA INC,0001017110,,,10-K,2022-04-14,edgar/data/1017110/0001477932-22-002272.txt
BIO KEY INTERNATIONAL INC,0001019034,BKYI,,10-K,2022-04-01,edgar/data/1019034/0001437749-22-007930.txt
SEACHANGE INTERNATIONAL INC,0001019671,SEAC,,10-K,2022-04-08,edgar/data/1019671/0001564590-22-014010.txt
UNIVERSAL CORP /VA/,0000102037,UVV,,10-K,2022-05-27,edgar/data/102037/0000102037-22-000015.txt
DXP ENTERPRISES INC,0001020710,DXPE,,10-K,2022-04-05,edgar/data/1020710/0001020710-22-000033.txt
TRIUMPH GROUP INC,0001021162,,,10-K,2022-05-23,edgar/data/1021162/0000950170-22-010497.txt
ON TRACK INNOVATIONS LTD,0001021604,,,10-K,2022-04-13,edgar/data/1021604/0001213900-22-019609.txt
EPLUS INC,0001022408,PLUS,,10-K,2022-05-26,edgar/data/1022408/0001140361-22-020620.txt
"Protagenic Therapeutics, Inc.\new",0001022899,PTIXW,,10-K,2022-04-07,edgar/data/1022899/0001493152-22-009370.txt
8X8 INC /DE/,0001023731,EGHT,,10-K,2022-05-27,edgar/data/1023731/0001023731-22-000087.txt
"SG BLOCKS, INC.",0001023994,OLOX,,10-K,2022-04-18,edgar/data/1023994/0001213900-22-020226.txt
LOGITECH INTERNATIONAL S.A.,0001032975,LOGI,,10-K,2022-05-18,edgar/data/1032975/0001032975-22-000012.txt
V F CORP,0000103379,VFC,,10-K,2022-05-26,edgar/data/103379/0000103379-22-000006.txt
RALPH LAUREN CORP,0001037038,RL,,10-K,2022-05-24,edgar/data/1037038/0001037038-22-000014.txt
PETMED EXPRESS INC,0001040130,PETS,,10-K,2022-05-24,edgar/data/1040130/0001437749-22-013417.txt
"ROCKWELL MEDICAL, INC.",0001041024,RMTI,,10-K,2022-04-08,edgar/data/1041024/0001628280-22-008830.txt
RIVERVIEW BANCORP INC,0001041368,RVSB,,10-K,2022-06-15,edgar/data/1041368/0000939057-22-000172.txt
Yunhong CTI Ltd.,0001042187,YHGJ,,10-K,2022-04-15,edgar/data/1042187/0001437749-22-009039.txt
"SONIDA SENIOR LIVING, INC.",0001043000,SNDA,,10-K,2022-04-15,edgar/data/1043000/0001628280-22-009364.txt
"ENVIRO TECHNOLOGIES U.S., INC.",0001043894,,,10-K,2022-04-15,edgar/data/1043894/0001099910-22-000074.txt
BIOCEPT INC,0001044378,,,10-K,2022-04-05,edgar/data/1044378/0001564590-22-013599.txt
KID CASTLE EDUCATIONAL CORP,0001049011,,,10-K,2022-04-15,edgar/data/1049011/0001493152-22-010101.txt
STEELCASE INC,0001050825,,,10-K,2022-04-15,edgar/data/1050825/0001050825-22-000066.txt
EVOLVING SYSTEMS INC,0001052054,,,10-K,2022-04-11,edgar/data/1052054/0001104659-22-044364.txt
ELITE PHARMACEUTICALS INC /NV/,0001053369,ELTP,,10-K,2022-06-29,edgar/data/1053369/0001493152-22-018108.txt
GIVEMEPOWER CORP,0001064722,GMPW,,10-K,2022-04-15,edgar/data/1064722/0001493152-22-010033.txt
Future FinTech Group Inc.,0001066923,FTFT,,10-K,2022-04-15,edgar/data/1066923/0001213900-22-020106.txt
FedNat Holding Co,0001069996,,,10-K,2022-04-25,edgar/data/1069996/0001069996-22-000027.txt
BLACKBERRY Ltd,0001070235,BB,,10-K,2022-04-01,edgar/data/1070235/0001070235-22-000048.txt
"JOHN WILEY & SONS, INC.",0000107140,WLYB,,10-K,2022-06-24,edgar/data/107140/0000107140-22-000022.txt
FIRST CAPITAL INTERNATIONAL INC,0001072842,,,10-K,2022-04-15,edgar/data/1072842/0001185185-22-000457.txt
