Company Name,CIK,Form Type,Date Filed,Filename
NICHOLAS FINANCIAL INC,0001000045,10-K,2019-06-28,edgar/data/1000045/0001564590-19-023956.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2019-04-01,edgar/data/1000683/0001213900-19-005351.txt
"Acacia Diversified Holdings, Inc.",0001001463,10-K,2019-04-01,edgar/data/1001463/0001185185-19-000474.txt
"MGT CAPITAL INVESTMENTS, INC.",0001001601,10-K,2019-04-16,edgar/data/1001601/0001493152-19-005484.txt
"NetApp, Inc.",0001002047,10-K,2019-06-18,edgar/data/1002047/0001564590-19-022779.txt
WESTELL TECHNOLOGIES INC,0001002135,10-K,2019-05-31,edgar/data/1002135/0001002135-19-000017.txt
"REGIONAL HEALTH PROPERTIES, INC",0001004724,10-K,2019-05-17,edgar/data/1004724/0001564590-19-019674.txt
SPAR GROUP INC,0001004989,10-K,2019-04-15,edgar/data/1004989/0001437749-19-007194.txt
COLUMBUS MCKINNON CORP,0001005229,10-K,2019-05-29,edgar/data/1005229/0001005229-19-000153.txt
ARGAN INC,0000100591,10-K,2019-04-10,edgar/data/100591/0001104659-19-020681.txt
SIERRA MONITOR CORP /CA/,0000100625,10-K,2019-04-01,edgar/data/100625/0001493152-19-004616.txt
UNICO AMERICAN CORP,0000100716,10-K,2019-04-01,edgar/data/100716/0000100716-19-000017.txt
STREAMLINE HEALTH SOLUTIONS INC.,0001008586,10-K,2019-04-22,edgar/data/1008586/0001558370-19-003142.txt
CAPSTONE TURBINE Corp,0001009759,10-K,2019-06-11,edgar/data/1009759/0001558370-19-005619.txt
AIR INDUSTRIES GROUP,0001009891,10-K,2019-04-01,edgar/data/1009891/0001213900-19-005550.txt
Geospatial Corp,0001011395,10-K,2019-04-16,edgar/data/1011395/0001376474-19-000095.txt
GLOBAL DIGITAL SOLUTIONS INC,0001011662,10-K,2019-06-18,edgar/data/1011662/0001654954-19-007421.txt
ENDOLOGIX INC /DE/,0001013606,10-K,2019-04-01,edgar/data/1013606/0001013606-19-000059.txt
"GlassBridge Enterprises, Inc.",0001014111,10-K,2019-04-01,edgar/data/1014111/0001493152-19-004550.txt
AMARILLO BIOSCIENCES INC,0001014763,10-K,2019-04-16,edgar/data/1014763/0001014763-19-000004.txt
UNITED STATES ANTIMONY CORP,0000101538,10-K,2019-04-01,edgar/data/101538/0001654954-19-003748.txt
CARVER BANCORP INC,0001016178,10-K,2019-06-28,edgar/data/1016178/0001016178-19-000011.txt
"RenovaCare, Inc.",0001016708,10-K,2019-04-12,edgar/data/1016708/0001731122-19-000192.txt
HIBBETT SPORTS INC,0001017480,10-K,2019-04-18,edgar/data/1017480/0001017480-19-000011.txt
PAID INC,0001017655,10-K,2019-04-01,edgar/data/1017655/0001654954-19-003887.txt
SPRINT Corp,0000101830,10-K,2019-05-29,edgar/data/101830/0000101830-19-000022.txt
ABERCROMBIE & FITCH CO /DE/,0001018840,10-K,2019-04-01,edgar/data/1018840/0001018840-19-000018.txt
BIO KEY INTERNATIONAL INC,0001019034,10-K,2019-04-01,edgar/data/1019034/0001437749-19-006258.txt
SEACHANGE INTERNATIONAL INC,0001019671,10-K,2019-04-12,edgar/data/1019671/0001564590-19-011518.txt
UNIVERSAL CORP /VA/,0000102037,10-K,2019-05-24,edgar/data/102037/0000102037-19-000022.txt
TRIUMPH GROUP INC,0001021162,10-K,2019-05-23,edgar/data/1021162/0001021162-19-000060.txt
