Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
ABBREVIATES;47;77;3.013780224078598e-09;3.753393235241879e-09;8.746759972540376e-07;45;0;0;0;0;0;0;0;0;4;12of12inf
ABBREVIATING;48;17;6.653800494718983e-10;1.9607036912642126e-09;6.437006241762414e-07;16;0;0;0;0;0;0;0;0;5;12of12inf
ABBREVIATION;49;13833;5.414236602555747e-07;2.919545567108109e-07;6.454273009347096e-06;7318;0;0;0;0;0;0;0;0;5;12of12inf
ABBREVIATIONS;50;34453;1.348490520262077e-06;7.374142274008964e-07;9.130984666117752e-06;18099;0;0;0;0;0;0;0;0;5;12of12inf
ABDICATE;51;50;1.957000145505583e-09;1.1319464819197874e-09;3.0841970753663725e-07;36;0;0;0;0;0;0;0;0;3;12of12inf
ABDICATED;52;141;5.518740410325745e-09;3.6419474132904774e-09;5.199746799774813e-07;88;2009;0;0;0;0;0;0;0;4;12of12inf
ABDICATES;53;1;3.914000291011166e-11;1.234773542798468e-11;1.366368846524572e-08;1;2009;0;0;0;0;0;0;0;3;12of12inf
ABDICATING;54;48;1.87872013968536e-09;1.1251444677798307e-09;2.4141265490720017e-07;36;2009;0;0;0;0;0;0;0;4;12of12inf
ABDICATION;55;784;3.0685762281527544e-08;2.0880353248331405e-08;1.4173957585574496e-06;629;2009;0;0;0;0;0;0;0;4;12of12inf
ABDICATIONS;56;0;0.0;0.0;0.0;0;2009;0;0;0;0;0;0;0;4;12of12inf
ABDOMEN;57;3087;1.208251889835147e-07;8.409286374644054e-08;3.6818086672443176e-06;1736;0;0;0;0;0;0;0;0;3;12of12inf
ABDOMENS;58;9;3.52260026191005e-10;1.1920950865160726e-10;5.658255308123183e-08;8;0;0;0;0;0;0;0;0;3;12of12inf
ABDOMINAL;59;14632;5.726965225807539e-07;3.82068399159403e-07;9.653922596269781e-06;5850;0;0;0;0;0;0;0;0;4;12of12inf
ABDOMINALS;60;23;9.002200669325682e-10;2.0812806975972627e-09;5.191316035098169e-07;23;0;0;0;0;0;0;0;0;4;12of12inf
ABDUCT;61;5;1.957000145505583e-10;7.896811292751038e-11;6.242279026393471e-08;4;0;0;0;0;0;0;0;0;2;12of12inf
ABDUCTED;62;144;5.63616041905608e-09;1.2040510075088813e-08;2.1636312576454053e-06;88;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTING;63;5;1.957000145505583e-10;9.248849608122923e-11;5.048969876398394e-08;5;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTION;64;217;8.493380631494231e-09;5.710516993209618e-09;1.0739150159793026e-06;129;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTIONS;65;99;3.874860288101055e-09;4.793414433127591e-09;8.055833057614879e-07;57;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTOR;66;9;3.52260026191005e-10;8.510213613171866e-11;5.9562592802999646e-08;3;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTORS;67;8;3.131200232808933e-10;1.5609308934508033e-10;7.282328602404844e-08;7;0;0;0;0;0;0;0;0;3;12of12inf
ABDUCTS;68;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABEAM;69;61;2.3875401775168114e-09;2.5942697818785315e-09;6.111052921821217e-07;38;0;0;0;0;0;0;0;0;2;12of12inf
ABED;70;125;4.892500363763958e-09;7.603435726325032e-09;2.0979321498284617e-06;49;0;0;0;0;0;0;0;0;2;12of12inf
